data.programNumber,value_assistanceUsage
66.511,"Environment (water, air, solid waste, pesticides, radiation)"
66.511,Higher Education (includes Research)
66.511,Science and Technology
66.511,Training
81.117,"Environment (water, air, solid waste, pesticides, radiation)"
81.117,Health/Medical
81.117,Community Development (includes Federal surplus property)
19.520,International (includes Export/lmport)
19.522,International (includes Export/lmport)
66.516,"Environment (water, air, solid waste, pesticides, radiation)"
66.516,Science and Technology
66.516,Higher Education (includes Research)
93.865,Health/Medical
93.865,Higher Education (includes Research)
19.018,International (includes Export/lmport)
19.523,International (includes Export/lmport)
19.515,International (includes Export/lmport)
19.519,International (includes Export/lmport)
81.008,Energy
81.137,Economic Development
81.137,Higher Education (includes Research)
81.137,Science and Technology
81.137,Training
81.137,Youth Development
93.971,Health/Medical
93.970,Training
20.940,Transportation
93.933,Health/Medical
93.791,Health/Medical
20.505,Planning
84.382,Higher Education (includes Research)
20.516,Transportation
84.335,Higher Education (includes Research)
20.615,Communications
93.775,"Law, Justice, and Legal Services"
84.200,Higher Education (includes Research)
84.220,Higher Education (includes Research)
20.943,Transportation
20.910,Training
20.910,Economic Development
20.942,Community Development (includes Federal surplus property)
20.942,Planning
20.942,Regional Development
20.942,Transportation
93.228,Health/Medical
93.777,Health/Medical
93.210,Health/Medical
93.313,Higher Education (includes Research)
93.313,Training
84.417,No Functional Application/Unlimited Application
84.120,Higher Education (includes Research)
84.120,Science and Technology
20.944,Transportation
93.123,Training
93.237,Health/Medical
93.767,Health/Medical
93.653,Health/Medical
84.153,Higher Education (includes Research)
93.140,Training
84.407,Higher Education (includes Research)
20.500,Public Works
20.500,Transportation
20.500,Construction/Renewal/Rehabilitation
93.193,Health/Medical
84.031,Higher Education (includes Research)
20.509,Transportation
20.507,Transportation
84.017,Higher Education (includes Research)
84.017,Community Development (includes Federal surplus property)
84.017,Culture/Arts/Humanities
84.229,Higher Education (includes Research)
15.524,"Natural Resources (mineral, water, wildlife, land)"
93.382,Health/Medical
93.382,Planning
93.867,Health/Medical
93.867,Higher Education (includes Research)
93.441,Health/Medical
84.274,Higher Education (includes Research)
84.016,Higher Education (includes Research)
84.015,Higher Education (includes Research)
20.701,Transportation
20.945,Transportation
93.383,Health/Medical
16.839,Elementary/Secondary Education
16.839,Planning
16.839,Science and Technology
16.839,Training
15.940,"Environment (water, air, solid waste, pesticides, radiation)"
15.940,Recreation (includes Historic Preservation)
15.940,Vocational Education
20.725,Energy
20.725,Public Works
20.725,Transportation
20.725,Training
20.710,Transportation
66.701,"Environment (water, air, solid waste, pesticides, radiation)"
66.701,Training
16.828,Employment/Labor/Management
16.828,Health/Medical
16.828,Higher Education (includes Research)
16.828,"Law, Justice, and Legal Services"
16.828,Training
15.961,Recreation (includes Historic Preservation)
16.606,"Law, Justice, and Legal Services"
66.802,"Environment (water, air, solid waste, pesticides, radiation)"
15.932,Construction/Renewal/Rehabilitation
16.043,"Law, Justice, and Legal Services"
15.941,Community Development (includes Federal surplus property)
15.912,Recreation (includes Historic Preservation)
81.126,Economic Development
81.126,Energy
81.126,Regional Development
81.126,Business/Commerce
81.126,Transportation
81.126,Construction/Renewal/Rehabilitation
16.815,"Law, Justice, and Legal Services"
16.815,Training
16.815,Consumer Protection
15.963,"Natural Resources (mineral, water, wildlife, land)"
15.963,Planning
16.825,Higher Education (includes Research)
16.825,"Law, Justice, and Legal Services"
16.825,Libraries/lnformation/Statistics
16.825,Planning
16.825,Science and Technology
16.825,Training
16.825,Communications
16.825,Community Development (includes Federal surplus property)
16.054,"Law, Justice, and Legal Services"
81.112,Higher Education (includes Research)
81.112,Science and Technology
81.112,Training
20.723,Energy
20.723,Science and Technology
20.723,Transportation
15.965,Planning
15.965,Youth Development
15.965,"Environment (water, air, solid waste, pesticides, radiation)"
15.922,Recreation (includes Historic Preservation)
15.922,Culture/Arts/Humanities
66.961,"Environment (water, air, solid waste, pesticides, radiation)"
15.964,Culture/Arts/Humanities
15.929,"Natural Resources (mineral, water, wildlife, land)"
15.928,Recreation (includes Historic Preservation)
15.406,Recreation (includes Historic Preservation)
15.925,Maritime
16.812,"Law, Justice, and Legal Services"
16.608,"Law, Justice, and Legal Services"
66.931,"Environment (water, air, solid waste, pesticides, radiation)"
15.933,Recreation (includes Historic Preservation)
15.942,"Environment (water, air, solid waste, pesticides, radiation)"
15.942,Recreation (includes Historic Preservation)
15.942,Community Development (includes Federal surplus property)
20.513,Transportation
15.958,Economic Development
15.958,Planning
15.958,Public Works
15.958,Recreation (includes Historic Preservation)
15.958,Regional Development
15.821,"Natural Resources (mineral, water, wildlife, land)"
15.821,Science and Technology
15.821,Training
15.821,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
64.101,Income Security/Social Service/Welfare
93.665,Health/Medical
42.013,Culture/Arts/Humanities
42.013,Higher Education (includes Research)
42.013,Libraries/lnformation/Statistics
93.631,No Functional Application/Unlimited Application
93.150,Health/Medical
19.108,No Functional Application/Unlimited Application
19.888,International (includes Export/lmport)
15.580,Construction/Renewal/Rehabilitation
93.008,Health/Medical
21.004,No Functional Application/Unlimited Application
19.903,No Functional Application/Unlimited Application
64.206,No Functional Application/Unlimited Application
19.023,Elementary/Secondary Education
19.790,No Functional Application/Unlimited Application
93.763,Health/Medical
93.763,Income Security/Social Service/Welfare
93.763,Training
93.360,Health/Medical
93.360,International (includes Export/lmport)
93.138,"Law, Justice, and Legal Services"
93.817,Health/Medical
93.817,Training
93.817,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
85.750,Economic Development
85.750,Elementary/Secondary Education
85.750,Employment/Labor/Management
85.750,"Environment (water, air, solid waste, pesticides, radiation)"
85.750,Food and Nutrition
85.750,Health/Medical
85.750,Higher Education (includes Research)
85.750,Housing
85.750,Income Security/Social Service/Welfare
85.750,Agriculture/Forestry/Fish and Game
85.750,International (includes Export/lmport)
85.750,"Law, Justice, and Legal Services"
85.750,"Natural Resources (mineral, water, wildlife, land)"
85.750,Planning
85.750,Regional Development
85.750,Business/Commerce
85.750,Training
85.750,Youth Development
85.750,Vocational Education
85.750,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
85.750,Communications
85.750,Community Development (includes Federal surplus property)
85.750,Construction/Renewal/Rehabilitation
85.750,Culture/Arts/Humanities
42.011,Culture/Arts/Humanities
64.127,Health/Medical
64.130,No Functional Application/Unlimited Application
42.014,Culture/Arts/Humanities
42.014,Libraries/lnformation/Statistics
93.367,"Environment (water, air, solid waste, pesticides, radiation)"
93.367,Food and Nutrition
93.367,Training
93.367,Consumer Protection
93.959,Health/Medical
42.010,Culture/Arts/Humanities
42.010,Elementary/Secondary Education
42.010,Higher Education (includes Research)
42.010,Libraries/lnformation/Statistics
42.010,Training
93.078,Health/Medical
93.632,Higher Education (includes Research)
93.632,Training
93.761,Health/Medical
93.051,Health/Medical
17.791,Employment/Labor/Management
17.791,Higher Education (includes Research)
93.876,Health/Medical
93.876,Science and Technology
93.876,Training
93.788,Health/Medical
93.788,Planning
93.788,Training
85.200,Higher Education (includes Research)
85.200,Science and Technology
93.982,Health/Medical
93.997,Health/Medical
93.997,"Law, Justice, and Legal Services"
93.325,Income Security/Social Service/Welfare
93.234,Health/Medical
93.234,Planning
93.234,Training
93.234,Communications
21.006,Income Security/Social Service/Welfare
84.019,Higher Education (includes Research)
93.734,Health/Medical
84.421,No Functional Application/Unlimited Application
84.421,Vocational Rehabilitation
15.437,No Functional Application/Unlimited Application
15.437,"Natural Resources (mineral, water, wildlife, land)"
15.435,"Natural Resources (mineral, water, wildlife, land)"
15.438,No Functional Application/Unlimited Application
15.438,"Natural Resources (mineral, water, wildlife, land)"
15.439,No Functional Application/Unlimited Application
15.439,"Natural Resources (mineral, water, wildlife, land)"
15.440,No Functional Application/Unlimited Application
15.440,"Natural Resources (mineral, water, wildlife, land)"
15.682,Employment/Labor/Management
15.682,"Natural Resources (mineral, water, wildlife, land)"
15.680,"Natural Resources (mineral, water, wildlife, land)"
15.683,"Natural Resources (mineral, water, wildlife, land)"
15.430,"Natural Resources (mineral, water, wildlife, land)"
15.981,"Natural Resources (mineral, water, wildlife, land)"
15.670,"Natural Resources (mineral, water, wildlife, land)"
15.434,"Natural Resources (mineral, water, wildlife, land)"
15.808,"Natural Resources (mineral, water, wildlife, land)"
15.669,"Natural Resources (mineral, water, wildlife, land)"
15.679,"Natural Resources (mineral, water, wildlife, land)"
93.696,Health/Medical
15.427,"Natural Resources (mineral, water, wildlife, land)"
15.508,"Environment (water, air, solid waste, pesticides, radiation)"
15.516,"Natural Resources (mineral, water, wildlife, land)"
15.684,"Natural Resources (mineral, water, wildlife, land)"
15.567,"Natural Resources (mineral, water, wildlife, land)"
15.686,"Natural Resources (mineral, water, wildlife, land)"
15.525,"Natural Resources (mineral, water, wildlife, land)"
15.685,"Natural Resources (mineral, water, wildlife, land)"
15.076,"Natural Resources (mineral, water, wildlife, land)"
64.014,Health/Medical
64.015,Health/Medical
64.026,Health/Medical
64.053,Health/Medical
15.635,"Natural Resources (mineral, water, wildlife, land)"
15.634,"Natural Resources (mineral, water, wildlife, land)"
87.003,Communications
15.636,"Natural Resources (mineral, water, wildlife, land)"
15.628,"Natural Resources (mineral, water, wildlife, land)"
42.015,Culture/Arts/Humanities
42.015,Elementary/Secondary Education
42.015,Higher Education (includes Research)
42.015,Libraries/lnformation/Statistics
42.015,Recreation (includes Historic Preservation)
42.015,Vocational Education
15.629,"Natural Resources (mineral, water, wildlife, land)"
15.655,"Natural Resources (mineral, water, wildlife, land)"
15.616,Maritime
15.657,"Natural Resources (mineral, water, wildlife, land)"
15.069,"Natural Resources (mineral, water, wildlife, land)"
11.303,Economic Development
11.303,Training
93.243,No Functional Application/Unlimited Application
93.243,Training
16.056,Planning
16.056,"Law, Justice, and Legal Services"
15.575,"Natural Resources (mineral, water, wildlife, land)"
11.039,Business/Commerce
11.039,Economic Development
11.039,Higher Education (includes Research)
11.039,Planning
11.039,Public Works
11.039,Regional Development
11.039,Science and Technology
11.039,Training
16.309,"Law, Justice, and Legal Services"
15.637,"Natural Resources (mineral, water, wildlife, land)"
15.639,"Natural Resources (mineral, water, wildlife, land)"
15.640,"Natural Resources (mineral, water, wildlife, land)"
15.666,Agriculture/Forestry/Fish and Game
15.666,"Natural Resources (mineral, water, wildlife, land)"
15.661,"Natural Resources (mineral, water, wildlife, land)"
15.667,"Natural Resources (mineral, water, wildlife, land)"
15.660,"Natural Resources (mineral, water, wildlife, land)"
15.662,"Natural Resources (mineral, water, wildlife, land)"
15.665,"Environment (water, air, solid waste, pesticides, radiation)"
15.665,"Natural Resources (mineral, water, wildlife, land)"
15.663,"Environment (water, air, solid waste, pesticides, radiation)"
15.658,"Natural Resources (mineral, water, wildlife, land)"
93.661,Health/Medical
93.661,Science and Technology
16.055,"Law, Justice, and Legal Services"
19.019,International (includes Export/lmport)
93.866,Higher Education (includes Research)
93.866,Training
15.073,"Natural Resources (mineral, water, wildlife, land)"
15.817,"Natural Resources (mineral, water, wildlife, land)"
15.812,"Natural Resources (mineral, water, wildlife, land)"
15.978,"Natural Resources (mineral, water, wildlife, land)"
15.818,Higher Education (includes Research)
15.818,Science and Technology
12.333,Science and Technology
12.333,Training
12.333,Communications
12.333,Elementary/Secondary Education
12.333,Employment/Labor/Management
12.333,Energy
12.333,Food and Nutrition
12.333,Health/Medical
12.333,Higher Education (includes Research)
12.333,"Law, Justice, and Legal Services"
12.333,Libraries/lnformation/Statistics
12.333,Maritime
12.333,Planning
12.333,Public Works
12.333,Regional Development
12.333,Vocational Education
12.333,International (includes Export/lmport)
15.814,Science and Technology
15.810,"Natural Resources (mineral, water, wildlife, land)"
15.805,Higher Education (includes Research)
15.805,Planning
15.805,Training
16.058,"Law, Justice, and Legal Services"
16.057,Income Security/Social Service/Welfare
15.441,"Natural Resources (mineral, water, wildlife, land)"
15.422,"Environment (water, air, solid waste, pesticides, radiation)"
15.421,"Natural Resources (mineral, water, wildlife, land)"
12.440,Higher Education (includes Research)
12.369,Higher Education (includes Research)
12.369,Youth Development
12.558,Elementary/Secondary Education
15.875,Economic Development
15.875,Health/Medical
15.875,Business/Commerce
15.875,Community Development (includes Federal surplus property)
15.875,Construction/Renewal/Rehabilitation
15.875,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
15.875,Communications
15.875,Energy
15.875,"Environment (water, air, solid waste, pesticides, radiation)"
15.875,Food and Nutrition
15.875,"Law, Justice, and Legal Services"
15.875,Libraries/lnformation/Statistics
15.875,Maritime
15.875,Public Works
15.875,Recreation (includes Historic Preservation)
15.875,Training
15.875,Vocational Education
15.875,Youth Development
15.875,Culture/Arts/Humanities
15.875,"Natural Resources (mineral, water, wildlife, land)"
15.875,Planning
15.875,Science and Technology
15.875,Transportation
15.875,Vocational Rehabilitation
15.671,"Natural Resources (mineral, water, wildlife, land)"
15.572,"Natural Resources (mineral, water, wildlife, land)"
15.572,"Environment (water, air, solid waste, pesticides, radiation)"
15.576,"Natural Resources (mineral, water, wildlife, land)"
15.504,"Natural Resources (mineral, water, wildlife, land)"
10.757,Economic Development
10.757,Energy
11.040,Economic Development
11.040,Higher Education (includes Research)
11.040,International (includes Export/lmport)
11.040,Public Works
11.040,Regional Development
11.040,Science and Technology
11.040,Training
11.040,Vocational Education
11.040,Planning
11.040,Business/Commerce
15.815,"Natural Resources (mineral, water, wildlife, land)"
11.307,Economic Development
11.307,Planning
11.307,Training
11.307,Business/Commerce
11.307,Regional Development
11.307,Science and Technology
11.307,Vocational Education
11.307,International (includes Export/lmport)
15.431,"Natural Resources (mineral, water, wildlife, land)"
11.312,Economic Development
15.532,Agriculture/Forestry/Fish and Game
15.532,"Natural Resources (mineral, water, wildlife, land)"
15.980,"Natural Resources (mineral, water, wildlife, land)"
11.300,Economic Development
11.300,Regional Development
64.037,No Functional Application/Unlimited Application
66.965,"Environment (water, air, solid waste, pesticides, radiation)"
66.965,Planning
15.530,"Environment (water, air, solid waste, pesticides, radiation)"
14.175,Housing
12.987,"Environment (water, air, solid waste, pesticides, radiation)"
81.122,Energy
84.358,Elementary/Secondary Education
81.041,Energy
84.206,Elementary/Secondary Education
14.278,Housing
14.278,Construction/Renewal/Rehabilitation
84.422,Higher Education (includes Research)
12.004,"Environment (water, air, solid waste, pesticides, radiation)"
14.231,Housing
14.231,"Law, Justice, and Legal Services"
14.869,Housing
14.119,Housing
14.119,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
66.456,"Environment (water, air, solid waste, pesticides, radiation)"
14.133,Housing
45.162,Culture/Arts/Humanities
14.108,Housing
14.108,Construction/Renewal/Rehabilitation
81.086,Energy
84.287,Elementary/Secondary Education
81.042,Energy
81.253,Energy
66.448,"Environment (water, air, solid waste, pesticides, radiation)"
81.256,"Environment (water, air, solid waste, pesticides, radiation)"
81.256,"Natural Resources (mineral, water, wildlife, land)"
81.256,Science and Technology
81.256,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
84.370,Elementary/Secondary Education
45.149,Culture/Arts/Humanities
93.526,Health/Medical
93.107,Health/Medical
93.107,Training
93.501,Health/Medical
45.161,Culture/Arts/Humanities
45.129,Culture/Arts/Humanities
93.778,Health/Medical
93.778,Income Security/Social Service/Welfare
93.077,Health/Medical
93.077,Higher Education (includes Research)
93.077,Training
91.005,Higher Education (includes Research)
91.005,International (includes Export/lmport)
93.310,Health/Medical
93.310,Science and Technology
93.368,Science and Technology
20.224,Planning
20.224,Transportation
20.224,Construction/Renewal/Rehabilitation
15.668,"Natural Resources (mineral, water, wildlife, land)"
20.205,Planning
20.205,Public Works
20.205,Transportation
20.205,Construction/Renewal/Rehabilitation
93.370,Science and Technology
20.234,Transportation
93.774,Health/Medical
93.774,Income Security/Social Service/Welfare
45.025,Culture/Arts/Humanities
45.024,Culture/Arts/Humanities
93.164,Health/Medical
93.444,No Functional Application/Unlimited Application
93.444,Health/Medical
93.284,Health/Medical
66.444,"Environment (water, air, solid waste, pesticides, radiation)"
21.025,Economic Development
21.025,Community Development (includes Federal surplus property)
21.012,Economic Development
21.012,Training
21.012,Community Development (includes Federal surplus property)
21.012,Business/Commerce
12.007,Higher Education (includes Research)
14.021,Construction/Renewal/Rehabilitation
14.021,Energy
14.021,"Environment (water, air, solid waste, pesticides, radiation)"
14.021,Housing
93.352,Construction/Renewal/Rehabilitation
20.200,Transportation
15.649,"Natural Resources (mineral, water, wildlife, land)"
12.620,Elementary/Secondary Education
12.620,Employment/Labor/Management
12.620,Vocational Education
97.142,Construction/Renewal/Rehabilitation
97.142,"Law, Justice, and Legal Services"
97.142,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.142,Communications
97.142,Training
20.947,Science and Technology
20.947,Transportation
20.947,Higher Education (includes Research)
20.947,Construction/Renewal/Rehabilitation
20.947,No Functional Application/Unlimited Application
21.021,Economic Development
21.021,Community Development (includes Federal surplus property)
21.020,Business/Commerce
21.020,Economic Development
21.020,Training
21.020,Community Development (includes Federal surplus property)
93.351,Health/Medical
54.001,Higher Education (includes Research)
12.300,Higher Education (includes Research)
12.300,Science and Technology
12.113,"Environment (water, air, solid waste, pesticides, radiation)"
12.010,Agriculture/Forestry/Fish and Game
12.010,"Natural Resources (mineral, water, wildlife, land)"
12.010,Recreation (includes Historic Preservation)
12.010,Science and Technology
12.010,Youth Development
12.350,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
12.360,Health/Medical
12.360,Higher Education (includes Research)
12.360,Science and Technology
12.777,No Functional Application/Unlimited Application
12.810,"Environment (water, air, solid waste, pesticides, radiation)"
12.810,Health/Medical
12.810,Science and Technology
20.319,Transportation
12.900,Elementary/Secondary Education
12.900,Higher Education (includes Research)
12.900,Science and Technology
12.900,Training
12.900,Youth Development
93.286,Health/Medical
93.286,Higher Education (includes Research)
93.286,Science and Technology
93.286,Training
20.327,Transportation
14.899,Housing
14.157,Construction/Renewal/Rehabilitation
14.157,Housing
14.269,Community Development (includes Federal surplus property)
20.314,Transportation
20.320,Transportation
20.315,Transportation
20.326,Transportation
14.275,Housing
20.112,Vocational Education
12.740,No Functional Application/Unlimited Application
12.431,Higher Education (includes Research)
12.431,Science and Technology
20.301,Transportation
20.301,Training
20.323,Transportation
20.318,Transportation
14.850,Housing
20.820,Maritime
20.820,Transportation
14.181,Housing
20.321,Transportation
84.356,Elementary/Secondary Education
20.823,Construction/Renewal/Rehabilitation
84.060,Elementary/Secondary Education
84.215,Elementary/Secondary Education
84.215,Higher Education (includes Research)
87.002,Health/Medical
87.002,Consumer Protection
84.295,Communications
84.351,Elementary/Secondary Education
84.351,Culture/Arts/Humanities
84.051,Vocational Education
20.825,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
20.824,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
20.824,Maritime
20.824,Transportation
84.362,Elementary/Secondary Education
84.259,Vocational Education
12.902,Higher Education (includes Research)
12.902,Science and Technology
12.903,Elementary/Secondary Education
12.903,Higher Education (includes Research)
12.903,Science and Technology
12.903,Training
12.903,Youth Development
12.905,Elementary/Secondary Education
12.905,Higher Education (includes Research)
12.840,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
12.750,Health/Medical
12.750,Higher Education (includes Research)
81.124,Higher Education (includes Research)
81.124,Science and Technology
81.121,Energy
81.121,Science and Technology
81.121,Higher Education (includes Research)
81.121,Business/Commerce
81.121,"Environment (water, air, solid waste, pesticides, radiation)"
20.703,Transportation
20.703,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
20.703,Training
20.703,Planning
93.772,No Functional Application/Unlimited Application
93.436,Health/Medical
93.977,Health/Medical
93.977,Training
93.421,Health/Medical
93.262,Health/Medical
93.387,Health/Medical
84.235,Vocational Rehabilitation
93.334,Health/Medical
12.556,Elementary/Secondary Education
93.738,Health/Medical
20.721,Energy
20.721,Public Works
20.721,Transportation
20.721,Training
93.427,Health/Medical
93.478,Health/Medical
84.010,Elementary/Secondary Education
93.495,Health/Medical
93.898,Health/Medical
93.097,Health/Medical
93.809,Food and Nutrition
93.809,Health/Medical
93.998,No Functional Application/Unlimited Application
93.366,Health/Medical
12.016,Transportation
64.203,Construction/Renewal/Rehabilitation
93.796,Health/Medical
15.230,"Environment (water, air, solid waste, pesticides, radiation)"
93.307,Health/Medical
93.307,Higher Education (includes Research)
93.307,Training
93.172,Health/Medical
93.172,Higher Education (includes Research)
93.172,Science and Technology
93.172,Training
15.545,"Natural Resources (mineral, water, wildlife, land)"
15.237,Agriculture/Forestry/Fish and Game
15.232,"Natural Resources (mineral, water, wildlife, land)"
93.143,"Environment (water, air, solid waste, pesticides, radiation)"
93.143,Health/Medical
93.143,Science and Technology
15.228,"Natural Resources (mineral, water, wildlife, land)"
15.015,"Natural Resources (mineral, water, wildlife, land)"
15.015,Agriculture/Forestry/Fish and Game
93.187,Health/Medical
93.187,Higher Education (includes Research)
12.002,Business/Commerce
12.002,Training
15.243,"Natural Resources (mineral, water, wildlife, land)"
15.243,Youth Development
15.222,"Natural Resources (mineral, water, wildlife, land)"
93.113,"Environment (water, air, solid waste, pesticides, radiation)"
93.113,Health/Medical
93.113,Science and Technology
15.514,Business/Commerce
93.853,Health/Medical
93.853,Higher Education (includes Research)
93.853,Science and Technology
93.853,Training
93.142,"Environment (water, air, solid waste, pesticides, radiation)"
93.142,Health/Medical
93.142,Science and Technology
93.662,Health/Medical
93.662,Science and Technology
93.662,Construction/Renewal/Rehabilitation
12.910,Higher Education (includes Research)
12.910,Science and Technology
93.855,Health/Medical
93.855,Higher Education (includes Research)
93.846,Health/Medical
93.846,Higher Education (includes Research)
15.233,Agriculture/Forestry/Fish and Game
93.663,Health/Medical
93.663,Science and Technology
15.542,"Natural Resources (mineral, water, wildlife, land)"
15.029,"Law, Justice, and Legal Services"
19.800,Economic Development
19.800,Health/Medical
19.800,Regional Development
19.800,Transportation
19.800,Training
19.800,Youth Development
19.800,Vocational Education
19.800,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
19.800,Communications
15.559,Construction/Renewal/Rehabilitation
15.147,Income Security/Social Service/Welfare
15.151,Elementary/Secondary Education
15.066,"Environment (water, air, solid waste, pesticides, radiation)"
14.888,Housing
15.046,Elementary/Secondary Education
19.025,Recreation (includes Historic Preservation)
19.025,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
19.025,Culture/Arts/Humanities
15.065,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
15.027,Higher Education (includes Research)
15.028,Higher Education (includes Research)
19.400,Higher Education (includes Research)
19.432,Higher Education (includes Research)
15.130,Elementary/Secondary Education
15.034,Agriculture/Forestry/Fish and Game
19.012,Higher Education (includes Research)
19.012,Culture/Arts/Humanities
15.052,"Law, Justice, and Legal Services"
15.033,Transportation
15.042,Elementary/Secondary Education
15.040,"Law, Justice, and Legal Services"
15.032,Economic Development
15.043,Elementary/Secondary Education
15.043,Training
15.043,Youth Development
15.048,No Functional Application/Unlimited Application
15.041,"Environment (water, air, solid waste, pesticides, radiation)"
15.062,Elementary/Secondary Education
15.148,Energy
15.148,Science and Technology
19.011,Higher Education (includes Research)
15.163,Elementary/Secondary Education
15.108,Employment/Labor/Management
15.108,Income Security/Social Service/Welfare
15.108,Training
15.108,Vocational Education
15.150,Vocational Rehabilitation
15.159,Higher Education (includes Research)
15.159,Housing
15.159,Science and Technology
15.159,Culture/Arts/Humanities
15.020,No Functional Application/Unlimited Application
15.021,No Functional Application/Unlimited Application
15.060,No Functional Application/Unlimited Application
15.051,"Natural Resources (mineral, water, wildlife, land)"
81.254,Energy
81.254,Science and Technology
81.254,Planning
81.254,Economic Development
15.057,No Functional Application/Unlimited Application
19.022,Higher Education (includes Research)
19.022,Culture/Arts/Humanities
15.552,Public Works
15.552,Construction/Renewal/Rehabilitation
15.146,Vocational Education
19.421,Higher Education (includes Research)
19.402,Higher Education (includes Research)
19.402,Culture/Arts/Humanities
15.155,Higher Education (includes Research)
15.155,"Law, Justice, and Legal Services"
15.155,Community Development (includes Federal surplus property)
19.015,Higher Education (includes Research)
15.160,Training
15.160,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
15.959,Elementary/Secondary Education
19.451,Higher Education (includes Research)
15.247,"Natural Resources (mineral, water, wildlife, land)"
19.301,Economic Development
19.452,Higher Education (includes Research)
19.452,Culture/Arts/Humanities
15.022,No Functional Application/Unlimited Application
15.124,Economic Development
19.415,Higher Education (includes Research)
19.415,Culture/Arts/Humanities
15.246,Agriculture/Forestry/Fish and Game
19.440,No Functional Application/Unlimited Application
15.053,"Law, Justice, and Legal Services"
15.036,No Functional Application/Unlimited Application
15.162,Housing
15.035,Agriculture/Forestry/Fish and Game
15.024,No Functional Application/Unlimited Application
15.061,No Functional Application/Unlimited Application
15.061,Higher Education (includes Research)
15.510,"Natural Resources (mineral, water, wildlife, land)"
15.047,Elementary/Secondary Education
15.059,No Functional Application/Unlimited Application
15.133,Economic Development
15.133,Business/Commerce
15.067,Economic Development
15.067,Training
15.067,Vocational Education
15.161,Higher Education (includes Research)
15.113,Income Security/Social Service/Welfare
15.030,"Law, Justice, and Legal Services"
15.141,Housing
15.141,Construction/Renewal/Rehabilitation
19.401,Higher Education (includes Research)
19.450,No Functional Application/Unlimited Application
19.009,Higher Education (includes Research)
15.025,No Functional Application/Unlimited Application
19.990,"Law, Justice, and Legal Services"
15.026,No Functional Application/Unlimited Application
15.063,"Law, Justice, and Legal Services"
15.149,Elementary/Secondary Education
93.461,Health/Medical
93.130,Health/Medical
93.923,Health/Medical
93.923,Higher Education (includes Research)
93.923,Training
93.928,Health/Medical
93.273,Health/Medical
93.273,Higher Education (includes Research)
93.686,Health/Medical
12.005,Agriculture/Forestry/Fish and Game
93.162,Health/Medical
93.162,Higher Education (includes Research)
93.129,Planning
93.129,Regional Development
93.129,Training
20.324,Transportation
14.239,Housing
14.259,Planning
14.259,Training
12.901,Elementary/Secondary Education
12.901,Higher Education (includes Research)
12.901,Youth Development
12.801,No Functional Application/Unlimited Application
12.420,Health/Medical
12.632,"Natural Resources (mineral, water, wildlife, land)"
12.632,Training
12.401,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
20.941,Transportation
20.816,Maritime
20.816,Planning
20.816,Regional Development
20.816,Transportation
20.817,"Environment (water, air, solid waste, pesticides, radiation)"
20.817,Maritime
20.115,Energy
20.812,Maritime
20.812,Construction/Renewal/Rehabilitation
20.814,Business/Commerce
20.808,Maritime
20.803,Maritime
20.803,Business/Commerce
84.415,Elementary/Secondary Education
84.101,Vocational Education
20.821,Higher Education (includes Research)
20.821,Maritime
20.818,Higher Education (includes Research)
20.818,Planning
20.818,Transportation
20.930,Transportation
20.822,Economic Development
20.822,"Environment (water, air, solid waste, pesticides, radiation)"
20.822,International (includes Export/lmport)
20.822,Maritime
20.822,Planning
20.822,Public Works
20.822,Transportation
20.822,Construction/Renewal/Rehabilitation
20.819,Higher Education (includes Research)
20.819,Maritime
20.819,Planning
20.819,Science and Technology
20.819,Transportation
84.299,Elementary/Secondary Education
84.048,Training
84.048,Vocational Education
84.371,Elementary/Secondary Education
84.245,Higher Education (includes Research)
84.245,Vocational Education
20.813,International (includes Export/lmport)
20.813,Maritime
20.813,Transportation
20.807,Higher Education (includes Research)
20.807,Maritime
20.807,Training
20.807,Transportation
93.365,Health/Medical
93.917,Health/Medical
93.253,Health/Medical
93.253,Planning
93.253,Regional Development
93.253,Training
93.918,Health/Medical
93.908,Health/Medical
93.232,Health/Medical
93.232,Higher Education (includes Research)
93.251,Health/Medical
93.178,Health/Medical
93.178,Training
93.224,Health/Medical
93.224,Training
93.191,Health/Medical
93.976,Training
93.186,Health/Medical
93.291,"Environment (water, air, solid waste, pesticides, radiation)"
93.291,Health/Medical
93.291,Higher Education (includes Research)
93.291,Housing
93.291,Community Development (includes Federal surplus property)
93.011,Health/Medical
