data.programNumber,value
84.015,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
20.701,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
20.945,State
20.945,Federally Recognized lndian Tribal Governments
20.945,Other public institution/organization
20.945,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.383,Federally Recognized lndian Tribal Governments
93.383,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.839,Government - General
16.839,Federally Recognized lndian Tribal Governments
16.839,State
15.940,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.940,Other public institution/organization
15.940,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.940,State
20.725,State
20.710,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.701,Federally Recognized lndian Tribal Governments
66.701,U.S. Territories and possessions
66.701,State
16.828,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.828,Federally Recognized lndian Tribal Governments
16.828,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.828,State
15.961,Anyone/general public
16.606,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.606,State
16.606,Federally Recognized lndian Tribal Governments
66.802,U.S. Territories and possessions
66.802,State
66.802,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.802,Federally Recognized lndian Tribal Governments
15.932,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.932,Minority group
15.932,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.932,Other private institutions/organizations
16.043,Federally Recognized lndian Tribal Governments
16.043,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.043,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.043,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.941,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.941,State
15.912,Anyone/general public
81.126,Government - General
81.126,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.126,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
81.126,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.126,Non-Government - General
81.126,Profit organization
16.815,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.815,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.963,State
15.963,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.963,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.963,Other public institution/organization
15.963,Federally Recognized lndian Tribal Governments
15.963,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.963,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.825,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.825,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.825,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.825,Federally Recognized lndian Tribal Governments
16.825,Profit organization
16.825,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.054,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.054,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.054,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.054,Federally Recognized lndian Tribal Governments
16.054,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.054,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
81.112,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.112,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.112,Other public institution/organization
81.112,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
20.723,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
20.723,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
20.723,Federally Recognized lndian Tribal Governments
20.723,U.S. Territories and possessions
20.723,U.S. Territories and possessions (includes institutions of higher education and hospitals)
20.723,Individual/Family
20.723,Profit organization
20.723,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
20.723,Quasi-public nonprofit institution/organization
15.965,Other private institutions/organizations
15.922,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.922,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.922,Federally Recognized lndian Tribal Governments
15.922,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
66.961,U.S. Territories and possessions
66.961,State
66.961,Federally Recognized lndian Tribal Governments
15.964,Quasi-public nonprofit institution/organization
15.964,Other private institutions/organizations
15.929,Federal
15.929,Interstate
15.929,Intrastate
15.929,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.929,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.929,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.929,Federally Recognized lndian Tribal Governments
15.928,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.928,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.928,State
15.406,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.406,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.406,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.406,Other public institution/organization
15.406,Federally Recognized lndian Tribal Governments
15.406,Individual/Family
15.406,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.406,Other private institutions/organizations
15.925,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.925,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.925,State
16.812,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.812,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.812,Federally Recognized lndian Tribal Governments
16.812,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.608,Federally Recognized lndian Tribal Governments
66.931,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.931,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.931,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.931,Federally Recognized lndian Tribal Governments
66.931,U.S. Territories and possessions (includes institutions of higher education and hospitals)
66.931,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.933,Federal
15.933,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.933,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.933,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.933,Federally Recognized lndian Tribal Governments
15.933,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.933,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.942,Federal
15.942,Sponsored organization
20.513,"State (includes District of Columbia, public institutions of higher education and hospitals)"
20.513,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
20.513,Sponsored organization
20.513,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
20.513,Other private institutions/organizations
15.958,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.958,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.958,Other public institution/organization
15.958,State
15.958,Anyone/general public
15.821,State
15.821,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.821,U.S. Territories and possessions
15.821,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
64.101,Individual/Family
93.665,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.665,Federally Recognized lndian Tribal Governments
42.013,U.S. Territories and possessions
42.013,U.S. Territories and possessions (includes institutions of higher education and hospitals)
42.013,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
42.013,Federally Recognized lndian Tribal Governments
42.013,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
42.013,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
42.013,State
42.013,Individual/Family
93.631,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.631,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.631,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.631,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.631,State
93.150,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.150,U.S. Territories and possessions (includes institutions of higher education and hospitals)
19.108,Anyone/general public
19.888,Individual/Family
19.888,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.888,Quasi-public nonprofit institution/organization
15.580,State
15.580,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.580,Federally Recognized lndian Tribal Governments
15.580,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.580,U.S. Territories and possessions
15.580,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.008,State
93.008,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.008,Other private institutions/organizations
93.008,Other public institution/organization
21.004,State
19.903,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
64.206,"Specialized group (e.g. health professionals, students, veterans)"
19.023,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.023,Other private institutions/organizations
19.790,Sponsored organization
93.763,Intrastate
93.763,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.763,Sponsored organization
93.763,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.763,Other public institution/organization
93.763,Federally Recognized lndian Tribal Governments
93.763,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.763,"Specialized group (e.g. health professionals, students, veterans)"
93.763,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.763,Quasi-public nonprofit institution/organization
93.360,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.360,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.360,Other public institution/organization
93.360,Federally Recognized lndian Tribal Governments
93.360,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.360,Profit organization
93.360,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.360,Quasi-public nonprofit institution/organization
93.360,Other private institutions/organizations
93.360,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
93.138,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.138,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.138,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
93.817,State
85.750,Non-Government - General
42.011,U.S. Territories and possessions
64.127,"Specialized group (e.g. health professionals, students, veterans)"
64.130,Individual/Family
42.014,"Specialized group (e.g. health professionals, students, veterans)"
93.367,Federally Recognized lndian Tribal Governments
93.367,U.S. Territories and possessions
93.367,State
93.959,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.959,Federally Recognized lndian Tribal Governments
93.959,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.959,State
93.959,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
42.010,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
42.010,Other public institution/organization
42.010,Federally Recognized lndian Tribal Governments
42.010,U.S. Territories and possessions (includes institutions of higher education and hospitals)
42.010,Non-Government - General
42.010,Small business (less than 500 employees)
42.010,Profit organization
42.010,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
42.010,Other private institutions/organizations
42.010,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
42.010,State
42.010,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.078,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.078,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.078,Other public institution/organization
93.078,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.078,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
93.632,Sponsored organization
93.632,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.761,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.761,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.761,Other public institution/organization
93.761,Federally Recognized lndian Tribal Governments
93.761,U.S. Territories and possessions
93.761,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.761,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.761,State
93.051,"State (includes District of Columbia, public institutions of higher education and hospitals)"
17.791,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.791,Other public institution/organization
17.791,Federally Recognized lndian Tribal Governments
17.791,U.S. Territories and possessions (includes institutions of higher education and hospitals)
17.791,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.791,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
93.876,Government - General
93.876,Federal
93.876,Interstate
93.876,Intrastate
93.876,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.876,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.876,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.876,Other public institution/organization
93.876,Federally Recognized lndian Tribal Governments
93.876,U.S. Territories and possessions
93.876,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.876,Minority group
93.876,Small business (less than 500 employees)
93.876,Profit organization
93.876,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.876,Other private institutions/organizations
93.876,State
93.876,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
93.788,U.S. Territories and possessions
93.788,State
93.788,Federally Recognized lndian Tribal Governments
93.788,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
85.200,"Specialized group (e.g. health professionals, students, veterans)"
93.982,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.982,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.982,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.982,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.997,State
93.325,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.325,Other public institution/organization
93.325,Federally Recognized lndian Tribal Governments
93.325,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.234,Federally Recognized lndian Tribal Governments
93.234,U.S. Territories and possessions
93.234,State
21.006,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
21.006,Federally Recognized lndian Tribal Governments
21.006,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.019,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.019,U.S. Territories and possessions (includes institutions of higher education and hospitals)
84.019,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.734,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.734,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.734,U.S. Territories and possessions
93.734,State
93.734,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
84.421,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.421,State
15.437,State
15.435,State
15.438,State
15.439,State
15.440,State
15.682,Non-Government - General
15.680,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.680,Small business (less than 500 employees)
15.680,Profit organization
15.680,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.680,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.680,Individual/Family
15.680,Federally Recognized lndian Tribal Governments
15.680,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.680,State
15.683,Federal
15.683,U.S. Territories and possessions
15.683,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.683,Federally Recognized lndian Tribal Governments
15.683,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.683,Individual/Family
15.683,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.683,Profit organization
15.683,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.430,State
15.981,State
15.670,Federal
15.670,Interstate
15.670,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.670,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.670,Federally Recognized lndian Tribal Governments
15.670,Individual/Family
15.670,Profit organization
15.670,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.670,State
15.434,State
15.808,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.808,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.808,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.808,Other public institution/organization
15.808,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.669,Federal
15.669,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.669,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.669,Federally Recognized lndian Tribal Governments
15.669,Individual/Family
15.669,Profit organization
15.669,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.669,State
15.679,Non-Government - General
15.679,Government - General
15.679,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.679,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.679,Profit organization
15.679,Quasi-public nonprofit institution/organization
93.696,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.696,Non-Government - General
15.427,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.427,Federally Recognized lndian Tribal Governments
15.508,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.508,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.508,State
15.516,Federally Recognized lndian Tribal Governments
15.516,"Specialized group (e.g. health professionals, students, veterans)"
15.516,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.684,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.684,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.684,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.684,Federally Recognized lndian Tribal Governments
15.684,Profit organization
15.684,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.684,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.567,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.686,Federal
15.686,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.686,Federally Recognized lndian Tribal Governments
15.686,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.686,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.686,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.686,Individual/Family
15.686,Interstate
15.686,Intrastate
15.525,Federally Recognized lndian Tribal Governments
15.525,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.685,Federal
15.685,Federally Recognized lndian Tribal Governments
15.685,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.685,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.685,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.685,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.685,Individual/Family
15.685,Interstate
15.685,Intrastate
15.076,Other public institution/organization
64.014,"State (includes District of Columbia, public institutions of higher education and hospitals)"
64.015,"State (includes District of Columbia, public institutions of higher education and hospitals)"
64.026,"Specialized group (e.g. health professionals, students, veterans)"
64.053,State
15.635,Federal
15.635,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.635,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.635,Individual/Family
15.635,"Specialized group (e.g. health professionals, students, veterans)"
15.635,Small business (less than 500 employees)
15.635,Other public institution/organization
15.635,Other private institutions/organizations
15.635,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.635,U.S. Territories and possessions
15.634,"State (includes District of Columbia, public institutions of higher education and hospitals)"
87.003,State
87.003,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
87.003,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.636,Federal
15.636,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.636,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.636,Other public institution/organization
15.636,Federally Recognized lndian Tribal Governments
15.636,Individual/Family
15.636,Profit organization
15.636,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.636,Other private institutions/organizations
15.636,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.628,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.628,U.S. Territories and possessions
15.628,Federal
15.628,Non-Government - General
42.015,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
42.015,Other private institutions/organizations
42.015,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
42.015,"State (includes District of Columbia, public institutions of higher education and hospitals)"
42.015,U.S. Territories and possessions (includes institutions of higher education and hospitals)
42.015,Other public institution/organization
42.015,Quasi-public nonprofit institution/organization
42.015,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
42.015,Small business (less than 500 employees)
42.015,Profit organization
42.015,"Specialized group (e.g. health professionals, students, veterans)"
42.015,Minority group
42.015,Non-Government - General
42.015,Federally Recognized lndian Tribal Governments
42.015,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
42.015,State
42.015,U.S. Territories and possessions
15.629,Federal
15.629,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.629,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.629,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.629,Other public institution/organization
15.629,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.629,Other private institutions/organizations
15.655,Federal
15.655,Interstate
15.655,Intrastate
15.655,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.655,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.655,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.655,Federally Recognized lndian Tribal Governments
15.655,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.655,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.655,Profit organization
15.655,Quasi-public nonprofit institution/organization
15.655,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.616,U.S. Territories and possessions
15.616,State
15.657,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.657,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.657,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.657,Federally Recognized lndian Tribal Governments
15.657,Profit organization
15.657,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.657,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.069,State
15.069,U.S. Territories and possessions
15.069,Federally Recognized lndian Tribal Governments
11.303,Interstate
11.303,Intrastate
11.303,"State (includes District of Columbia, public institutions of higher education and hospitals)"
11.303,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
11.303,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
11.303,Other public institution/organization
11.303,Federally Recognized lndian Tribal Governments
11.303,U.S. Territories and possessions
11.303,U.S. Territories and possessions (includes institutions of higher education and hospitals)
11.303,Individual/Family
11.303,Small business (less than 500 employees)
11.303,Profit organization
11.303,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
11.303,Quasi-public nonprofit institution/organization
93.243,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.243,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.243,Sponsored organization
93.243,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.243,Other public institution/organization
93.243,Federally Recognized lndian Tribal Governments
93.243,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.243,Quasi-public nonprofit institution/organization
93.243,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.056,Other private institutions/organizations
15.575,Anyone/general public
11.039,Government - General
11.039,Federal
11.039,Interstate
11.039,U.S. Territories and possessions
11.039,Intrastate
11.039,State
11.039,"State (includes District of Columbia, public institutions of higher education and hospitals)"
11.039,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
11.039,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
11.039,Other public institution/organization
11.039,Federally Recognized lndian Tribal Governments
11.039,U.S. Territories and possessions (includes institutions of higher education and hospitals)
11.039,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
11.039,Quasi-public nonprofit institution/organization
11.039,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
11.039,Non-Government - General
16.309,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.309,Other public institution/organization
16.309,Anyone/general public
15.637,Federal
15.637,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.637,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.637,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.637,Federally Recognized lndian Tribal Governments
15.637,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.637,Profit organization
15.637,Interstate
15.637,Intrastate
15.637,Individual/Family
15.639,Federally Recognized lndian Tribal Governments
15.640,Federal
15.640,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.640,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.640,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.640,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.666,Government - General
15.666,Federal
15.666,State
15.666,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.666,Federally Recognized lndian Tribal Governments
15.661,Federal
15.661,Interstate
15.661,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.661,Federally Recognized lndian Tribal Governments
15.667,State
15.660,Anyone/general public
15.662,Federal
15.662,State
15.662,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.662,Individual/Family
15.662,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.662,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.665,Federal
15.665,U.S. Territories and possessions
15.665,Profit organization
15.665,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.665,State
15.665,Anyone/general public
15.665,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.663,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.658,Anyone/general public
93.661,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.661,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.661,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.661,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.661,Quasi-public nonprofit institution/organization
93.661,Other private institutions/organizations
16.055,Federally Recognized lndian Tribal Governments
19.019,Federal
19.019,"State (includes District of Columbia, public institutions of higher education and hospitals)"
19.019,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.019,Other public institution/organization
19.019,Non-Government - General
19.019,Profit organization
19.019,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.019,Other private institutions/organizations
93.866,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.866,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.866,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.866,Other public institution/organization
93.866,Federally Recognized lndian Tribal Governments
93.866,U.S. Territories and possessions
93.866,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.866,Non-Government - General
93.866,Individual/Family
93.866,Minority group
93.866,"Specialized group (e.g. health professionals, students, veterans)"
93.866,Small business (less than 500 employees)
93.866,Profit organization
93.866,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.866,Quasi-public nonprofit institution/organization
93.866,Other private institutions/organizations
93.866,State
93.866,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.073,State
15.073,Government - General
15.817,Government - General
15.817,Federal
15.817,Interstate
15.817,Intrastate
15.817,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.817,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
