data.programNumber,value_beneficiary
44.002,"Specialized group (e.g. health professionals, students, veterans)"
93.085,Federal
93.085,Profit organization
93.085,Private nonprofit institution/organization
93.085,State
93.085,Local
93.085,Public nonprofit institution/organization
93.085,Other public institution/organization
93.072,Anyone/general public
93.072,Consumer
11.420,State
64.104,Veteran/Service person/Reservist (including dependents
64.104,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
64.104,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
64.104,Senior Citizen (60+)
93.311,Anyone/general public
97.139,State
97.139,Local
97.139,Federally Recognized Indian Tribal Governments
97.139,U.S. Territories
64.105,Veteran/Service person/Reservist (including dependents
19.777,Anyone/general public
11.419,U.S. Territories
11.419,State
16.562,Graduate Student
16.562,U.S. Citizen
93.104,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.104,Mentally Disabled
93.104,Infant (0-5)
93.104,Child (6-15)
93.104,Youth (16-21)
16.529,"Specialized group (e.g. health professionals, students, veterans)"
16.529,Private nonprofit institution/organization
16.529,Native American Organizations
16.529,Sponsored organization
16.529,Public nonprofit institution/organization
16.529,Other public institution/organization
16.529,Federally Recognized Indian Tribal Governments
96.020,Individual/Family
96.020,Veteran/Service person/Reservist (including dependents
32.007,
10.433,Individual/Family
10.433,Homeowner
10.433,Low Income
10.433,Rural
16.736,Anyone/general public
16.736,Women
16.736,Child (6-15)
16.736,Youth (16-21)
19.224,Federal
93.889,U.S. Territories
93.889,State
93.889,Local
97.083,Industrialist/ Business person
97.083,Homeowner
97.083,Land/Property Owner
97.083,American Indian
97.083,Local
17.602,Private nonprofit institution/organization
17.602,Anyone/general public
93.958,U.S. Territories
93.958,State
93.958,Other private institution/organization
93.618,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
16.614,State
16.614,Local
16.028,Small business
16.028,Profit organization
16.028,Private nonprofit institution/organization
16.028,Quasi-public nonprofit organization
16.028,Other private institution/organization
16.028,Anyone/general public
64.110,Individual/Family
64.110,Veteran/Service person/Reservist (including dependents
16.557,Native American Organizations
16.017,Public nonprofit institution/organization
16.017,Other public institution/organization
12.022,
97.134,State
97.134,Local
16.588,Private nonprofit institution/organization
16.588,Native American Organizations
16.588,State
16.588,Local
93.470,Individual/Family
93.470,State
93.470,U.S. Citizen
93.470,Local
93.470,Public nonprofit institution/organization
93.470,Other public institution/organization
93.470,Federally Recognized Indian Tribal Governments
93.825,Other public institution/organization
11.999,Federal
11.999,Other private institution/organization
11.999,Anyone/general public
11.999,State
11.999,Other public institution/organization
11.999,Federally Recognized Indian Tribal Governments
93.464,State
93.464,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.464,Public nonprofit institution/organization
93.042,Senior Citizen (60+)
16.576,Individual/Family
16.576,Anyone/general public
96.008,Profit organization
96.008,Private nonprofit institution/organization
96.008,State
96.008,Local
96.008,Public nonprofit institution/organization
16.052,"Specialized group (e.g. health professionals, students, veterans)"
16.052,Sponsored organization
16.052,Public nonprofit institution/organization
16.052,Private nonprofit institution/organization
16.052,Federally Recognized Indian Tribal Governments
16.052,Other public institution/organization
16.052,Individual/Family
97.012,U.S. Territories
97.012,"Specialized group (e.g. health professionals, students, veterans)"
97.012,Quasi-public nonprofit organization
97.012,Other private institution/organization
97.012,State
97.012,Local
97.012,Sponsored organization
97.012,Public nonprofit institution/organization
97.012,Other public institution/organization
97.012,Private nonprofit institution/organization
12.604,State
12.604,Local
12.604,Federally Recognized Indian Tribal Governments
93.297,Individual/Family
93.297,Minority group
93.297,Anyone/general public
93.433,Individual/Family
19.791,
97.007,Private nonprofit institution/organization
97.007,State
97.007,Local
97.007,Public nonprofit institution/organization
19.127,
16.038,Private nonprofit institution/organization
16.038,Quasi-public nonprofit organization
16.038,Other private institution/organization
16.038,Profit organization
97.057,"Specialized group (e.g. health professionals, students, veterans)"
97.057,Private nonprofit institution/organization
97.057,Other private institution/organization
97.057,Public nonprofit institution/organization
97.057,Other public institution/organization
64.100,Veteran/Service person/Reservist (including dependents
64.100,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
12.618,U.S. Territories
12.618,State
12.618,Local
12.618,Federally Recognized Indian Tribal Governments
17.309,Individual/Family
17.309,"Specialized group (e.g. health professionals, students, veterans)"
17.309,Private nonprofit institution/organization
14.277,
19.792,
97.052,U.S. Territories
97.052,State
97.052,Local
97.052,Federally Recognized Indian Tribal Governments
10.500,Federal
10.500,U.S. Territories
10.500,Minority group
10.500,Private nonprofit institution/organization
10.500,Other private institution/organization
10.500,Anyone/general public
10.500,State
10.500,Public nonprofit institution/organization
10.500,Other public institution/organization
16.528,"Specialized group (e.g. health professionals, students, veterans)"
16.528,Private nonprofit institution/organization
16.528,Native American Organizations
16.528,Public nonprofit institution/organization
16.528,Other public institution/organization
16.528,Federally Recognized Indian Tribal Governments
93.469,U.S. Territories
93.469,Individual/Family
93.469,Profit organization
93.469,Anyone/general public
93.469,Public nonprofit institution/organization
93.469,Other public institution/organization
93.844,State
30.011,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
30.011,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
30.011,Mentally Disabled
15.231,
38.009,
93.089,U.S. Territories
93.089,Private nonprofit institution/organization
93.089,State
93.089,Local
93.089,"Major Metropolis (over 250,000)"
93.089,Public nonprofit institution/organization
93.089,Other public institution/organization
42.012,
10.308,U.S. Territories
10.308,Private nonprofit institution/organization
10.308,State
10.308,Public nonprofit institution/organization
93.362,Senior Citizen (60+)
93.362,Native American Organizations
93.362,State
93.362,Public nonprofit institution/organization
93.362,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.362,U.S. Citizen
64.109,Veteran/Service person/Reservist (including dependents
64.109,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
64.109,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
10.759,U.S. Territories
10.759,State
10.759,Local
10.759,Public nonprofit institution/organization
10.759,Federally Recognized Indian Tribal Governments
93.225,Public nonprofit institution/organization
93.225,Private nonprofit institution/organization
10.916,State
10.916,Local
93.226,Federal
93.226,U.S. Territories
93.226,"Specialized group (e.g. health professionals, students, veterans)"
93.226,Private nonprofit institution/organization
93.226,Anyone/general public
93.226,Native American Organizations
93.226,Consumer
93.226,State
93.226,Local
93.226,Public nonprofit institution/organization
93.226,Other public institution/organization
93.226,Federally Recognized Indian Tribal Governments
10.862,Individual/Family
10.762,Private nonprofit institution/organization
10.762,Local
10.762,Federally Recognized Indian Tribal Governments
11.440,Private nonprofit institution/organization
11.440,Quasi-public nonprofit organization
11.440,Education Professional
11.440,Public nonprofit institution/organization
66.815,State
66.815,Local
66.815,Anyone/general public
11.417,Private nonprofit institution/organization
11.417,Quasi-public nonprofit organization
11.417,Other private institution/organization
11.417,Education Professional
11.417,Student/Trainee
11.417,Graduate Student
11.417,Scientist/Researchers
11.417,Public nonprofit institution/organization
11.417,Other public institution/organization
20.901,Profit organization
20.901,Other private institution/organization
20.237,U.S. Territories
20.237,State
93.431,Federal
93.431,State
93.431,Local
93.456,Minority group
93.456,Private nonprofit institution/organization
93.456,Other private institution/organization
93.456,Sponsored organization
93.456,Public nonprofit institution/organization
93.456,Other public institution/organization
93.380,State
93.380,U.S. Territories
64.051,Individual/Family
64.051,"Specialized group (e.g. health professionals, students, veterans)"
45.160,Individual/Family
45.160,Graduate Student
45.160,Artist/Humanist
45.160,Education (13+)
45.160,Public nonprofit institution/organization
45.160,Education Professional
45.169,Private nonprofit institution/organization
45.169,Public nonprofit institution/organization
10.907,Anyone/general public
10.932,Native American Organizations
10.932,Farmer/Rancher/Agriculture Producer
10.932,Land/Property Owner
10.932,State
10.932,Local
10.932,Sponsored organization
10.932,Federally Recognized Indian Tribal Governments
93.603,Individual/Family
93.603,Infant (0-5)
93.603,Child (6-15)
93.603,Youth (16-21)
10.134,
10.132,
10.920,Individual/Family
10.920,Anyone/general public
10.120,
10.054,Individual/Family
10.054,"Specialized group (e.g. health professionals, students, veterans)"
10.054,Farmer/Rancher/Agriculture Producer
10.054,Land/Property Owner
10.133,
10.406,Individual/Family
10.421,Farmer/Rancher/Agriculture Producer
10.056,Individual/Family
10.056,Anyone/general public
10.056,Farmer/Rancher/Agriculture Producer
10.056,Land/Property Owner
10.969,
97.108,Federal
97.108,Individual/Family
97.108,Profit organization
97.108,Private nonprofit institution/organization
97.108,Native American Organizations
97.108,State
97.108,Local
97.108,Public nonprofit institution/organization
97.108,Federally Recognized Indian Tribal Governments
10.148,
10.102,Small business
10.102,Anyone/general public
10.102,Land/Property Owner
10.102,Federally Recognized Indian Tribal Governments
10.130,
59.065,
93.399,Individual/Family
93.399,Private nonprofit institution/organization
93.399,Scientist/Researchers
93.399,Public nonprofit institution/organization
20.611,U.S. Territories
20.611,State
10.447,Low Income
10.447,Rural
84.116,Private nonprofit institution/organization
84.116,Education (13+)
84.116,Public nonprofit institution/organization
10.477,Anyone/general public
11.481,Student/Trainee
11.481,Graduate Student
11.481,Scientist/Researchers
11.481,State
11.481,Education (13+)
10.934,Farmer/Rancher/Agriculture Producer
10.934,Land/Property Owner
15.529,"Specialized group (e.g. health professionals, students, veterans)"
15.529,Anyone/general public
15.529,Federally Recognized Indian Tribal Governments
59.058,Small business
59.058,Private nonprofit institution/organization
59.058,Quasi-public nonprofit organization
59.058,Other private institution/organization
59.058,Scientist/Researchers
59.058,Small Business Person
59.058,State
59.058,Local
59.058,Public nonprofit institution/organization
59.058,Other public institution/organization
93.397,Private nonprofit institution/organization
93.397,Public nonprofit institution/organization
93.396,Private nonprofit institution/organization
93.396,Health Professional
93.396,Student/Trainee
93.396,Graduate Student
93.396,Scientist/Researchers
93.396,Public nonprofit institution/organization
20.937,
10.933,Farmer/Rancher/Agriculture Producer
10.933,U.S. Citizen
10.933,Rural
10.494,
20.616,State
11.462,Federal
11.462,Quasi-public nonprofit organization
11.462,Farmer/Rancher/Agriculture Producer
11.462,Homeowner
11.462,State
11.462,Local
66.440,Interstate
66.440,State
66.440,Local
66.440,Public nonprofit institution/organization
66.440,Federally Recognized Indian Tribal Governments
66.440,U.S. Territories
66.440,Individual/Family
66.440,Private nonprofit institution/organization
66.440,Anyone/general public
10.053,U.S. Territories
10.053,Individual/Family
10.053,"Specialized group (e.g. health professionals, students, veterans)"
10.053,Small business
10.053,Profit organization
10.053,Private nonprofit institution/organization
10.053,Quasi-public nonprofit organization
10.053,Farmer/Rancher/Agriculture Producer
10.127,
10.136,
10.405,Individual/Family
10.405,"Specialized group (e.g. health professionals, students, veterans)"
10.405,Farmer/Rancher/Agriculture Producer
10.405,U.S. Citizen
93.664,Intrastate
10.438,Moderate Income
10.438,Low Income
10.438,Rural
10.926,Federal
10.926,Individual/Family
10.926,Minority group
10.926,Anyone/general public
10.926,Land/Property Owner
10.926,State
10.926,Local
10.926,Federally Recognized Indian Tribal Governments
10.925,Anyone/general public
10.925,Land/Property Owner
10.415,Individual/Family
10.415,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
10.415,Senior Citizen (60+)
10.415,Moderate Income
10.415,Low Income
10.093,Anyone/general public
11.553,Individual/Family
11.553,Private nonprofit institution/organization
11.553,Anyone/general public
11.553,Public nonprofit institution/organization
11.553,Other public institution/organization
11.029,Federally Recognized Indian Tribal Governments
11.029,Native American Organizations
11.031,Anyone/general public
10.758,
64.204,
17.281,State
17.281,Local
17.281,Unemployed
17.281,Public nonprofit institution/organization
20.806,Student/Trainee
12.560,Anyone/general public
11.432,Individual/Family
11.432,Profit organization
11.432,Private nonprofit institution/organization
11.432,Quasi-public nonprofit organization
11.432,Other private institution/organization
11.432,Scientist/Researchers
11.432,Sponsored organization
11.432,Public nonprofit institution/organization
11.432,Other public institution/organization
12.014,Private nonprofit institution/organization
12.014,Public nonprofit institution/organization
12.014,Student/Trainee
12.014,Education (13+)
64.058,Veteran/Service person/Reservist (including dependents
20.607,State
20.232,Other private institution/organization
20.232,Anyone/general public
20.232,State
20.232,Local
20.232,Public nonprofit institution/organization
10.921,Individual/Family
10.921,Anyone/general public
10.921,Native American Organizations
10.921,Land/Property Owner
20.235,U.S. Territories
20.235,Anyone/general public
20.235,State
20.235,Local
20.235,Public nonprofit institution/organization
20.235,Federally Recognized Indian Tribal Governments
10.098,Farmer/Rancher/Agriculture Producer
10.927,Individual/Family
10.927,Land/Property Owner
10.927,State
10.927,Local
10.923,Private nonprofit institution/organization
10.923,Anyone/general public
10.923,Public nonprofit institution/organization
10.923,Other public institution/organization
20.109,Private nonprofit institution/organization
20.109,Education (13+)
10.761,Local
10.761,Federally Recognized Indian Tribal Governments
10.864,Profit organization
10.864,Other private institution/organization
10.770,Private nonprofit institution/organization
10.770,Anyone/general public
10.770,State
10.770,Federally Recognized Indian Tribal Governments
64.120,Veteran/Service person/Reservist (including dependents
64.120,Education (13+)
20.113,Public nonprofit institution/organization
20.113,Private nonprofit institution/organization
20.113,Small business
10.760,Individual/Family
10.760,Farmer/Rancher/Agriculture Producer
10.760,American Indian
10.760,Local
10.760,Rural
10.763,Private nonprofit institution/organization
10.763,Local
64.124,Veteran/Service person/Reservist (including dependents
64.117,Veteran/Service person/Reservist (including dependents
64.024,Veteran/Service person/Reservist (including dependents
64.027,Individual/Family
64.032,Individual/Family
17.277,Veteran/Service person/Reservist (including dependents
17.277,Unemployed
17.235,
10.904,U.S. Territories
10.904,Private nonprofit institution/organization
10.904,State
10.904,Local
10.904,Sponsored organization
10.904,Public nonprofit institution/organization
64.033,Veteran/Service person/Reservist (including dependents
10.914,Individual/Family
10.914,Minority group
10.914,Anyone/general public
10.914,Native American Organizations
10.914,Federally Recognized Indian Tribal Governments
17.280,Minority group
17.280,"Specialized group (e.g. health professionals, students, veterans)"
17.280,Student/Trainee
17.280,Black
17.280,American Indian
17.280,Spanish Origin
17.280,Asian
17.280,Other Non-White
17.280,Migrant
17.280,Veteran/Service person/Reservist (including dependents
17.280,Women
17.280,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
17.280,Youth (16-21)
17.280,Unemployed
17.280,Low Income
20.946,
15.555,Private nonprofit institution/organization
15.555,Anyone/general public
15.555,State
15.555,Local
15.555,Federally Recognized Indian Tribal Governments
20.802,Individual/Family
20.802,Profit organization
20.802,Anyone/general public
20.802,U.S. Citizen
20.938,
20.608,State
20.114,Profit organization
21.017,
20.106,U.S. Territories
20.106,Private nonprofit institution/organization
20.106,Quasi-public nonprofit organization
20.106,State
20.106,Local
20.106,Public nonprofit institution/organization
20.106,Other public institution/organization
20.106,Federally Recognized Indian Tribal Governments
20.106,Anyone/general public
20.106,Rural
20.106,Suburban
20.106,Other Urban
20.106,"Major Metropolis (over 250,000)"
20.106,Builder/Contractor/Developer
20.218,U.S. Territories
20.218,State
10.917,State
10.109,Individual/Family
10.109,U.S. Citizen
10.929,Individual/Family
10.929,Land/Property Owner
10.929,State
10.929,Local
20.108,U.S. Territories
20.108,Profit organization
20.108,Private nonprofit institution/organization
20.108,State
15.648,Anyone/general public
15.521,"Specialized group (e.g. health professionals, students, veterans)"
15.521,State
15.509,Anyone/general public
15.678,Anyone/general public
17.245,Individual/Family
17.245,Unemployed
15.677,State
15.677,Local
15.677,Public nonprofit institution/organization
15.677,Other public institution/organization
15.677,Federally Recognized Indian Tribal Governments
64.035,Veteran/Service person/Reservist (including dependents
15.564,Anyone/general public
10.128,Profit organization
10.128,Private nonprofit institution/organization
10.128,Public nonprofit institution/organization
10.407,Individual/Family
10.407,Minority group
10.407,Small business
10.407,Farmer/Rancher/Agriculture Producer
10.407,Land/Property Owner
10.407,Black
10.407,American Indian
10.407,U.S. Citizen
10.407,Women
10.407,Low Income
10.407,Rural
10.913,State
10.913,Local
10.087,Farmer/Rancher/Agriculture Producer
10.087,Land/Property Owner
10.087,U.S. Citizen
10.931,Land/Property Owner
10.931,State
10.931,Local
10.931,Federally Recognized Indian Tribal Governments
10.129,
10.435,State
10.404,Individual/Family
10.404,Minority group
10.028,Farmer/Rancher/Agriculture Producer
10.028,Industrialist/ Business person
10.028,Land/Property Owner
10.028,State
10.028,Local
10.028,Public nonprofit institution/organization
10.028,Federally Recognized Indian Tribal Governments
10.025,U.S. Territories
10.025,Private nonprofit institution/organization
10.025,Farmer/Rancher/Agriculture Producer
10.025,State
10.025,Local
10.025,Public nonprofit institution/organization
11.468,U.S. Citizen
11.468,Public nonprofit institution/organization
11.468,Other public institution/organization
11.468,Federally Recognized Indian Tribal Governments
11.468,Other private institution/organization
10.030,Anyone/general public
10.935,
11.431,Individual/Family
11.431,Other private institution/organization
11.431,Anyone/general public
11.431,State
11.431,Other public institution/organization
10.475,Anyone/general public
10.072,Individual/Family
10.072,Anyone/general public
10.072,Native American Organizations
10.072,Land/Property Owner
10.072,State
10.072,Local
10.479,Anyone/general public
93.086,Individual/Family
93.086,"Specialized group (e.g. health professionals, students, veterans)"
93.086,U.S. Citizen
93.086,Refugee/Alien
93.086,Local
93.086,Low Income
93.086,Public nonprofit institution/organization
15.256,Private nonprofit institution/organization
10.139,
10.974,
10.144,
10.752,
10.189,Local
10.189,Public nonprofit institution/organization
10.189,Other public institution/organization
10.189,Federally Recognized Indian Tribal Governments
10.189,Individual/Family
10.189,Minority group
10.189,"Specialized group (e.g. health professionals, students, veterans)"
10.189,Small business
10.189,Profit organization
10.189,Other private institution/organization
10.189,Anyone/general public
10.189,Native American Organizations
10.189,Farmer/Rancher/Agriculture Producer
10.189,Small Business Person
10.189,Consumer
10.189,Black
10.189,American Indian
10.189,Spanish Origin
10.189,Asian
10.189,Other Non-White
10.189,Migrant
10.189,U.S. Citizen
10.189,Refugee/Alien
10.189,Women
10.189,Moderate Income
10.189,Low Income
10.189,"Major Metropolis (over 250,000)"
10.189,Other Urban
10.189,Suburban
10.189,Rural
10.617,Private nonprofit institution/organization
10.616,Profit organization
10.600,Private nonprofit institution/organization
10.600,Public nonprofit institution/organization
10.601,Private nonprofit institution/organization
10.601,Other private institution/organization
10.615,Profit organization
10.604,Federal
10.604,Private nonprofit institution/organization
10.604,State
10.604,Public nonprofit institution/organization
10.605,Private nonprofit institution/organization
10.605,Other private institution/organization
10.605,Public nonprofit institution/organization
10.605,Other public institution/organization
10.618,Private nonprofit institution/organization
10.618,Other private institution/organization
10.188,Local
10.188,Public nonprofit institution/organization
10.188,Other public institution/organization
10.188,Federally Recognized Indian Tribal Governments
10.188,Individual/Family
10.188,Minority group
10.188,"Specialized group (e.g. health professionals, students, veterans)"
10.188,Small business
10.188,Profit organization
10.188,Private nonprofit institution/organization
10.188,Anyone/general public
10.188,Native American Organizations
10.188,Farmer/Rancher/Agriculture Producer
10.188,Small Business Person
10.188,Consumer
10.188,Black
10.188,American Indian
10.188,Spanish Origin
10.188,Asian
10.188,Other Non-White
10.188,Migrant
10.188,U.S. Citizen
10.188,Refugee/Alien
10.188,Women
10.188,School
10.188,Moderate Income
10.188,Low Income
10.188,"Major Metropolis (over 250,000)"
10.188,Other Urban
10.188,Suburban
10.188,Rural
66.033,Interstate
66.033,State
66.033,Local
66.033,Federally Recognized Indian Tribal Governments
66.037,State
66.037,Local
66.037,Public nonprofit institution/organization
66.037,Federally Recognized Indian Tribal Governments
66.037,U.S. Territories
66.037,Private nonprofit institution/organization
17.271,Individual/Family
17.271,"Specialized group (e.g. health professionals, students, veterans)"
17.271,Small business
17.271,Profit organization
17.271,Private nonprofit institution/organization
17.271,Industrialist/ Business person
17.271,Small Business Person
17.271,Veteran/Service person/Reservist (including dependents
17.271,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
17.271,Youth (16-21)
17.271,Unemployed
17.271,Welfare Recipient
66.446,State
66.446,Local
66.446,Public nonprofit institution/organization
66.446,Federally Recognized Indian Tribal Governments
66.446,U.S. Territories
66.446,Private nonprofit institution/organization
66.446,Rural
10.961,Scientist/Researchers
10.961,Other public institution/organization
10.960,"Specialized group (e.g. health professionals, students, veterans)"
10.960,Private nonprofit institution/organization
10.960,Quasi-public nonprofit organization
10.960,Other private institution/organization
10.960,Scientist/Researchers
10.960,State
10.960,Public nonprofit institution/organization
10.960,Other public institution/organization
10.171,Individual/Family
10.171,Farmer/Rancher/Agriculture Producer
10.171,Rural
93.590,Individual/Family
10.111,Individual/Family
10.111,Farmer/Rancher/Agriculture Producer
10.579,State
10.579,Local
10.579,School
10.579,Education (0-8)
10.579,Education (9-12)
21.026,Individual/Family
21.026,Low Income
21.026,Unemployed
93.276,Private nonprofit institution/organization
93.276,Local
93.276,Public nonprofit institution/organization
93.276,Other public institution/organization
21.027,Individual/Family
21.027,Small business
21.027,Public nonprofit institution/organization
21.027,Private nonprofit institution/organization
21.019,State
21.019,Local
21.019,U.S. Territories
21.019,Federally Recognized Indian Tribal Governments
21.019,Education (0-8)
21.019,Education (9-12)
21.019,Education (13+)
21.019,Senior Citizen (60+)
21.019,School
21.019,Education Professional
21.019,Health Professional
21.019,Anyone/general public
21.019,Unemployed
21.029,State
21.029,Local
21.029,Public nonprofit institution/organization
21.029,Other public institution/organization
21.029,Federally Recognized Indian Tribal Governments
21.029,U.S. Territories
21.029,Individual/Family
21.029,Minority group
21.029,Small business
21.029,Profit organization
21.029,Private nonprofit institution/organization
21.029,Anyone/general public
21.029,Native American Organizations
21.029,Student/Trainee
21.029,Builder/Contractor/Developer
21.029,Homeowner
21.029,Land/Property Owner
21.028,
20.933,Quasi-public nonprofit organization
20.933,State
20.933,Local
84.126,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
66.720,Public nonprofit institution/organization
66.720,Other public institution/organization
66.720,Minority group
66.720,"Specialized group (e.g. health professionals, students, veterans)"
66.720,Private nonprofit institution/organization
15.070,Senior Citizen (60+)
15.558,Federally Recognized Indian Tribal Governments
17.273,U.S. Territories
17.273,Small business
17.273,Profit organization
17.273,Private nonprofit institution/organization
17.273,Quasi-public nonprofit organization
17.273,Other private institution/organization
17.273,State
17.273,Public nonprofit institution/organization
17.273,Other public institution/organization
15.517,Private nonprofit institution/organization
15.517,Native American Organizations
15.517,State
15.517,Local
15.517,Public nonprofit institution/organization
15.570,Anyone/general public
10.450,Farmer/Rancher/Agriculture Producer
10.450,Land/Property Owner
10.089,Individual/Family
10.089,Minority group
10.089,Small business
10.089,Farmer/Rancher/Agriculture Producer
10.903,Individual/Family
10.903,"Specialized group (e.g. health professionals, students, veterans)"
10.903,Anyone/general public
10.903,Sponsored organization
11.017,U.S. Territories
11.017,Private nonprofit institution/organization
11.017,Native American Organizations
11.017,State
11.017,Local
11.017,Public nonprofit institution/organization
11.017,Other public institution/organization
11.017,Federally Recognized Indian Tribal Governments
15.821,
64.101,Individual/Family
32.008,
98.002,Native American Organizations
16.041,
93.665,Individual/Family
93.665,Child (6-15)
93.047,American Indian
93.047,Senior Citizen (60+)
93.047,Federally Recognized Indian Tribal Governments
10.304,Federal
10.304,Anyone/general public
10.304,State
10.312,Federal
10.312,Profit organization
10.312,Private nonprofit institution/organization
10.312,Quasi-public nonprofit organization
10.312,State
10.312,Public nonprofit institution/organization
10.536,State
10.536,Local
42.013,
93.631,Private nonprofit institution/organization
93.631,State
93.631,Local
93.631,Public nonprofit institution/organization
93.045,Senior Citizen (60+)
93.045,Low Income
93.150,Veteran/Service person/Reservist (including dependents
93.150,Mentally Disabled
10.751,Individual/Family
10.751,Minority group
10.751,Small business
10.751,Native American Organizations
10.751,Consumer
10.751,Homeowner
10.751,Black
10.751,American Indian
10.751,Spanish Origin
10.751,Asian
10.751,Other Non-White
10.751,U.S. Citizen
10.751,Veteran/Service person/Reservist (including dependents
10.751,Women
10.751,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
10.751,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
10.751,Moderate Income
10.751,Low Income
10.751,Rural
19.108,
10.587,Private nonprofit institution/organization
10.587,State
10.587,Local
10.587,Sponsored organization
10.587,Public nonprofit institution/organization
93.260,Health Professional
16.571,Individual/Family
66.481,Federal
66.481,Interstate
66.481,Intrastate
66.481,State
66.481,Local
66.481,Public nonprofit institution/organization
66.481,Other public institution/organization
66.481,Private nonprofit institution/organization
66.481,Quasi-public nonprofit organization
12.607,U.S. Territories
12.607,Interstate
12.607,Intrastate
12.607,State
12.607,Local
12.607,Federally Recognized Indian Tribal Governments
32.011,
32.009,
97.039,U.S. Territories
97.039,Individual/Family
97.039,Native American Organizations
97.039,Homeowner
97.039,Land/Property Owner
97.039,State
97.039,Local
97.039,Public nonprofit institution/organization
97.039,Federally Recognized Indian Tribal Governments
97.041,State
97.041,Local
32.006,Federal
12.003,State
12.003,Local
12.003,Federally Recognized Indian Tribal Governments
16.525,Minority group
16.525,Private nonprofit institution/organization
16.525,Native American Organizations
16.525,Federally Recognized Indian Tribal Governments
97.055,Local
19.888,Anyone/general public
97.036,State
93.088,Individual/Family
93.088,Anyone/general public
93.088,U.S. Citizen
93.088,Women
16.029,U.S. Territories
16.029,Private nonprofit institution/organization
16.029,State
16.029,Local
16.029,Public nonprofit institution/organization
16.029,Federally Recognized Indian Tribal Governments
15.580,Federal
15.580,State
15.580,Local
15.580,U.S. Territories
15.580,Individual/Family
15.580,Private nonprofit institution/organization
93.974,Anyone/general public
93.008,Anyone/general public
93.008,Public nonprofit institution/organization
10.246,
10.001,Anyone/general public
10.001,Public nonprofit institution/organization
97.022,Individual/Family
97.022,Homeowner
97.022,Land/Property Owner
16.025,Native American Organizations
16.025,American Indian
16.025,Women
16.025,Federally Recognized Indian Tribal Governments
93.007,Individual/Family
10.997,
97.111,Local
98.004,Private nonprofit institution/organization
98.004,Other private institution/organization
98.004,Sponsored organization
16.751,Federal
16.751,Anyone/general public
16.751,State
21.004,U.S. Territories
21.004,State
96.009,Profit organization
96.009,Private nonprofit institution/organization
96.009,State
96.009,Local
96.009,Public nonprofit institution/organization
93.899,
93.747,Private nonprofit institution/organization
93.747,Native American Organizations
93.747,State
93.747,Local
93.747,Senior Citizen (60+)
93.747,Public nonprofit institution/organization
93.747,Federally Recognized Indian Tribal Governments
16.817,U.S. Territories
16.817,Individual/Family
16.817,Private nonprofit institution/organization
16.817,Other private institution/organization
16.817,State
16.817,Local
16.817,Public nonprofit institution/organization
16.817,Federally Recognized Indian Tribal Governments
19.903,Anyone/general public
93.217,Individual/Family
93.217,Low Income
12.611,State
12.611,Local
12.611,Federally Recognized Indian Tribal Governments
98.005,Private nonprofit institution/organization
98.005,Other private institution/organization
64.206,
19.023,Private nonprofit institution/organization
19.023,Other private institution/organization
19.023,School
16.016,Individual/Family
16.016,Minority group
16.016,Local
10.872,State
10.872,Local
10.872,Public nonprofit institution/organization
10.872,Federally Recognized Indian Tribal Governments
10.872,"Specialized group (e.g. health professionals, students, veterans)"
10.872,Profit organization
10.872,Private nonprofit institution/organization
10.872,Other private institution/organization
10.872,Native American Organizations
98.010,Private nonprofit institution/organization
93.851,Federal
93.851,"Specialized group (e.g. health professionals, students, veterans)"
93.851,Anyone/general public
93.851,Scientist/Researchers
11.473,Private nonprofit institution/organization
11.473,Quasi-public nonprofit organization
11.473,State
11.473,Local
11.473,Public nonprofit institution/organization
11.473,Other public institution/organization
11.473,Federally Recognized Indian Tribal Governments
93.369,State
93.369,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.369,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.369,Mentally Disabled
19.790,
32.005,
97.089,U.S. Territories
97.089,Small business
97.089,Interstate
97.089,Intrastate
97.089,State
97.089,Local
97.089,Other public institution/organization
93.052,Individual/Family
16.615,Individual/Family
39.007,U.S. Territories
39.007,Profit organization
39.007,Private nonprofit institution/organization
39.007,Quasi-public nonprofit organization
39.007,Other private institution/organization
39.007,Anyone/general public
39.007,State
39.007,Local
39.007,Sponsored organization
39.007,Public nonprofit institution/organization
39.007,Other public institution/organization
93.763,U.S. Territories
