data.title,data.objective,data.programNumber,data.organizationId,data.description,l1ShortName,l1Name,l2Name
NIH Office of Research on Women's Health,ORWH will identify projects on women's health that should be conducted or supported by national research institutes; identify multi-disciplinary research related to research on women 's health that should be conducted or supported; and promote coordination and collaboration among entities conducting research. ,93.313,100019747,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH
Directed Grants and Awards,Objectives of the programs vary based on the directed grant award.  Awards are made to specified institutions for purposes specified in the appropriations or authorization bills.,84.417,100001616,,ED,"EDUCATION, DEPARTMENT OF",
Minority Science and Engineering Improvement,"To (1) effect long-range improvement in science and engineering education at predominantly minority institutions and (2) increase the participation of underrepresented ethnic minorities, particularly minority women, in scientific and technological careers.",84.120,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
Autonomous Vehicle Research in Rural Communities Program,"The Autonomous Vehicle Research in Rural Communities Program, also known as the Rural Autonomous Vehicle (RAV) Research Cooperative Agreement or RAV Program will award funding to eligible accredited nonprofit institutions of higher education to conduct research and work with rural communities to address the additional challenges, including weather variables and differing types of roadway, of bringing the benefits of autonomous vehicles, including freight and delivery vehicles, to rural Americans.",20.944,100042830,"The Joint Explanatory Statement Division L-Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2023 (BILLS 117RCP35 JES DIVISION L, March 2023) accompanying H.R. 2471:  Consolidated Appropriations Act, 2022, authorizes the Secretary of Transportation to award two cooperative agreements to  eligible non-profit institutions of higher education to conduct research dedicated to identifying and addressing the unique elements of AV operations in rural areas by developing a demonstration project designed to demonstrate automated driving system feasibility that incorporates low speed AVs.

The total amount of funding authorized for FY 2023 is up to $25 million, with each awardee receiving $12.5 million, for a six-year project length.",DOT,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY
Health Professions Pre-graduate Scholarship Program for Indians,"To provide scholarships to American Indians and Alaska Natives for the purpose of completing pre-graduate education leading to a baccalaureate degree only in the following areas: (1) Pre-medicine: priority as follows: senior, junior, sophomore, freshman; (2) Pre-dentistry: priority as follows: senior, junior, sophomore, freshman; (3) Pre-optometry: priority as follows: senior, junior, sophomore, freshman; (4) Pre-podiatry: priority as follows: senior, junior, sophomore, freshman.",93.123,100035685,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE
Special Diabetes Program for Indians Diabetes Prevention and Treatment  Projects,"To promote improved health care among American Indians/Alaska Natives through special diabetes prevention and treatment services with objectives and priorities determined at the local level. Since FY 2016, this program includes a new grant application process that directs Community-Directed Diabetes Programs to identify and implement at least one Indian Health Diabetes Best Practice with defined goals, objectives and key measures based on community assessment and results of diabetes care and outcomes audit.  The funding mechanism is a competitive grant program.",93.237,100035685,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE
Children's Health Insurance Program,"The objective of the Children’s Health Insurance Program (CHIP) is to provide funds to States to enable them to maintain and expand child health assistance to uninsured, low-income children, and at a state option, low-income pregnant women and legal immigrants, primarily by three methods: (1) operating a separate CHIP program; (2) expanding eligibility for children under the State's Medicaid program; and (3) or operating both a separate CHIP and a Medicaid expansion program. 
The objective of the Connecting Kids to Coverage (CKC) Outreach and Enrollment Grants is to reduce the number of uninsured children eligible for Medicaid, CHIP and insurance affordability programs who are not enrolled and improve retention of those who are already enrolled. The latest cohort of grants were authorized under Section 3004(a) of the Helping Ensure Access for Little Ones, Toddlers, and Hopeful Youth by Keeping Insurance Delivery Stable Act (referred to as the HEALTHY KIDS Act and included in Pub. L. 115-120). CMS awarded a total of $48 million to eligible entities, including states, local governments, schools, health care providers, community-based public or non-profit organizations, and Indian tribes or tribal consortiums, tribal organizations, urban Indian organizations receiving funds under Title V of the Indian Health Care Improvement Act (25 U.S.C. 1651 et seq.), and Indian Health Service providers. These grants support outreach strategies aimed at increasing enrollment of eligible, but not enrolled,children in Medicaid and CHIP, emphasizing outreach and enrollment activities tailored to communities where eligible children and families reside and enlisting community leaders and programs that serve eligible children and families. These grants also fund activities designed to help families understand application procedures and health coverage opportunities under Medicaid and CHIP. The Centers for Medicare & Medicaid Services (CMS) also made awards of $6 million exclusively for Indian health care providers and tribal entities to conduct outreach and enrollment activities aimed at American Indians and Alaska Natives. Indian health care providers and tribal entities were permitted to apply for either or both funding opportunities as long as the work described was different in each proposal.",93.767,100075508,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR MEDICARE AND MEDICAID SERVICES
Indian Health Service Domestic Violence Prevention Programs,"The objective of the Domestic Violence Prevention (DVP) Program is to promote prevention efforts that address domestic and sexual violence including sexual exploitation/human trafficking, Missing and Murdered AI/AN, and child maltreatment.",93.653,100035685,"The objective of the Domestic Violence Prevention (DVP) Program is to promote prevention efforts that address domestic and sexual violence including sexual exploitation/human trafficking, Missing and Murdered American Indians and Alaska Natives, and child maltreatment.  Awardees of this program will do this by incorporating prevention efforts addressing social, spiritual, physical and emotional well-being of victims through the integration of culturally appropriate practices and trauma informed services for Tribes, Tribal organizations and Urban Indian Organizations serving the AI/AN population.",HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE
Business and International Education Projects,To promote innovation and improvement in international business education curricula at institutions of higher education (IHEs) and promote linkages between IHEs and the business community.,84.153,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
Intramural Research Training Award,"The National Institutes of Health (NIH) IRTA Traineeships/Fellowships are established for the principal benefit of the participants and to provide opportunities for developmental training and practical research experience in a variety of disciplines related to biomedical research, medical library research, and related fields. The IRTA components are: 1) Postdoctoral IRTA - designed to provide advanced practical research experience to physicians and other doctoral researchers who are at the beginning stages of their professional research careers; 2) Predoctoral IRTA - designed to provide practical research training and experience to students, by supplementing academic course work and/or encouraging pursuit of professional careers in biomedical research to students enrolled in doctoral degree programs in biomedical sciences;  3) Postbaccalaureate IRTA - designed to provide recent college graduates, particularly minorities, women, and persons with disabilities, an opportunity to postpone application to graduate or medical school and to provide a means to introduce individuals early in their careers to research, encourage their pursuit of professional careers in biomedical research, and allow additional time to pursue successful application to either graduate or medical school programs; and 4) Student IRTA - designed to provide a developmental training experience to promising high school, undergraduate, and graduate or professional students who have expressed a strong interest in or are studying disciplines related to biomedical sciences.",93.140,100019747,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH
Transition Programs for Students with Intellectual Disabilities into Higher Education,"Funding under this program supports competitive grants to institutions of higher education (IHEs) (as defined under section 101(a) of the Higher Education Act of 1965, as amended (HEA)), or consortia of IHEs, to create or expand high-quality, inclusive model comprehensive transition and postsecondary programs for students with intellectual disabilities. Under section 767(d)(6) of the HEA all grant recipients must partner with one or more local educational agencies (LEAs) to support students with intellectual disabilities who are still eligible for special education and related services under the Individuals with Disabilities Education Act (IDEA).
Funds from this program also support a national Coordinating Center (Coordinating Center), which develops evaluation standards for TPSID grantees and provides technical assistance, information, and opportunities for communication among institutions with postsecondary programs for students with intellectual disabilities. The Center assists in supporting continuous improvement activities for the model transition programs. The Coordinating Center will:
(A) provide a research and evaluation protocol for TPSID programs; 
(B) administer a mentoring program matching current and new TPSID grantees based on areas of expertise; 
(C) coordinate longitudinal follow-up data collection and technical assistance to TPSID grantees on programmatic components and evidence-based practices; 
(D) make recommendations related to the development of standards for such programs; 
(E) provide technical assistance and evaluations for such programs. 
",84.407,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
Federal Transit Capital Investment Grants,"The Capital Investment Grant Program is the Federal Government’s primary financial resource for supporting transit capital projects that are locally planned, implemented, and operated. It provides funding for fixed guideway investments such as new and expanded heavy rail, commuter rail, light rail, streetcar, bus rapid transit, and ferries as well as corridor-based bus rapid transit investments that emulate the features of rail.",20.500,100167113,"The Capital Investment Grant program has helped to build dozens of new or extended transit fixed guideway systems across the country.  These public transportation investments have improved the mobility of millions of Americans, provided alternatives to congested roadways, and fostered the development of more viable, safe, and livable communities.",DOT,"TRANSPORTATION, DEPARTMENT OF",FEDERAL TRANSIT ADMINISTRATION
Urban Indian Health Services,"Grants provide health-related services to Urban Indians including: (1) Alcohol and substance abuse prevention, treatment, rehabilitation, and education; (2) Mental health needs assessment and services; (3) Health promotion and disease prevention services; (4) Immunization services; and (5) HIV/AIDS prevention and care. Cooperative Agreement provides services and advocacy for Urban Indian Organizations including: (1) Public policy; (2) Research and data; (3) training and technical assistance; (4) Education, public relations and marketing.",93.193,100035685,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE
Higher Education Institutional Aid,"To help eligible colleges and universities to strengthen their management and fiscal operations and to assist such institutions to plan, develop, or implement activities including endowment building to strengthen the academic quality of their institutions.",84.031,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
Formula Grants for Rural Areas and Tribal Transit Program,"To improve, initiate, or continue public transportation service in nonurbanized areas (rural areas and small cities under 50,000 in population) and to provide technical assistance for rural transportation providers. The Section 5311 program supports both the maintenance of existing public transportation services and the expansion of those services through the following program goals: 
•	enhancing access in rural areas to health care, shopping, education, employment, public services, and recreation; 
•	increasing availability of transportation options through investments in intercity bus services; and
•	encouraging mobility management, and employment-related transportation alternatives 

The Public Transportation on Indian Reservations Program is a set-aside form the Formula Grants for Rural Areas program that consists of both a formula and competitive grant program for federally recognized Indian tribes or Alaska Native villages, groups, or communities in rural areas.",20.509,100167113,"The Formula Grants for Rural Areas program provides capital, planning, and operating assistance to states to support public transportation in rural areas with populations of less than 50,000, where many residents often rely on public transit to reach their destinations.

Federal public transportation law 5311(c)(1)(A)) authorizes FTA to award competitive grants “under such terms and conditions as may be established by the Secretary” to Indian tribes for any purpose eligible under FTA's Formula Grants for Rural Areas Program, 49 U.S.C. 5311, including planning, capital, and operating assistance. The Tribal Transit Program supports FTA's strategic goals and objectives through the timely and efficient investment in public transportation. This program also supports the President's Building a Better America initiative to mobilize American ingenuity to build a modern infrastructure and an equitable, clean energy future.",DOT,"TRANSPORTATION, DEPARTMENT OF",FEDERAL TRANSIT ADMINISTRATION
Federal Transit Formula Grants,"The Urbanized Area Formula Funding Program (49 U.S.C. 5307) makes federal resources available to local and regional government authorities and states for transit capital and operating assistance and for transportation-related planning in urbanized areas. An urbanized area is an 'Urban Area', as defined and designated in the most recent decennial census by the Department of Commerce - Bureau of the Census, that encompasses a population of not less than 50,000.  In addition, a Passenger Ferry Grant Program sub-component 5307(h) remains in this program. 
 It should be noted that 20.532 Passenger Ferry Grant Program, Electric or Low-Emitting Ferry Pilot Program, and Ferry Service for Rural Communities Program is the Assistance Listing for all other federal funding for Ferry projects.",20.507,100167113,"The Urbanized Area Formula Program provides funding to transit agencies, states,  and local governments to develop new transit systems and improve, maintain, and operate existing systems in urbanized areas.  Public transportation is regular, continuing shared-ride transportation services that are open to the general public or open to a segment of the general public defined by age, disability, or low income.",DOT,"TRANSPORTATION, DEPARTMENT OF",FEDERAL TRANSIT ADMINISTRATION
International Research and Studies,"To improve foreign language, area, and other international studies training through support of research, studies, development of specialized instructional materials, and the publication of specialized materials developed as a result of research conducted under this program.",84.017,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
Language Resource Centers,"To provide grants for establishing, strengthening, and operating centers that serve as resources for improving the nation's capacity for teaching and learning foreign languages through teacher training, research, materials development, and dissemination projects.",84.229,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
Recreation Resources Management,"To provide cost-share opportunities with non-Federal recreation partners (e.g., state, county, local governments, etc.), to assist in planning, development, operation, maintenance, and replacement of recreation and fish and wildlife resource facilities at partner managed Reclamation project recreation areas. ",15.524,100010394,,DOI,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION
Indian Health Service Community Health Aide Program,"The Indian Health Service (IHS) Community Health Aide Program (CHAP) consists of several funding programs designed to help Tribes and Tribal Organizations (T/TO) improve access to health care in their respective communities.  The national CHAP provides a network of health aides training to support licensed health professionals while providing direct health care, health promotion, and disease prevention services.  These providers work within a referral relationship under the supervision of licensed clinical providers that includes clinics, service units, and hospitals.  The CHAP will increase access to direct health services, including inpatient and outpatient visits.  The Tribal Assessment and Planning program is designed to support the assessment and planning of Tribes and Tribal Organizations  is determining the feasibility of implementing the CHAP in their respective communities.  The Tribal Planning and Implementation program is designed to support the final planning and implementation of Tribes and Tribal Organizations that are positioned to begin operating a CHAP.",93.382,100035685,The Indian Health Service Community Health Aide Program (CHAP) has two separate funding vehicles.  The Tribal Assessment and Planning program is designed to support the assessment and planning of Tribes and Tribal Organizations  in determining the feasibility of implementing the CHAP in their respective communities.  The Tribal Planning and Implementation program supports the final planning and implementation of Tribes and Tribal Organizations that are positioned to begin operating a CHAP.,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE
Vision Research,"1) To support eye and vision research projects that address the leading causes of blindness and impaired vision in the U.S. These include retinal diseases; corneal diseases; cataract; glaucoma and optic neuropathies; strabismus; amblyopia; and low vision and blindness rehabilitation. 
2) To increase understanding of the normal development and function of the visual system in order to better prevent, diagnose, and treat sight-threatening conditions; and, to enhance the rehabilitation, training, and quality of life of individuals who are partially-sighted or blind.  
3) To support a broad program of basic vision research through grants and cooperative agreements; to encourage high quality clinical research, including clinical trials, other epidemiological studies, and health services research; to encourage research training and career development in the sciences related to vision; and to sponsor scientific workshops in high priority research areas to encourage exchange of information among scientists.  
4) Small Business Innovation Research (SBIR) program: To increase private sector commercialization of innovations derived from Federal research and development; to encourage small business participation in Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.  Small Business Technology Transfer (STTR) program: To stimulate and foster scientific and technological innovation through cooperative research development carried out between small business concerns and research institutions; to foster technology transfer between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.",93.867,100019747,"The mission of the National Eye Institute is to eliminate vision loss and improve quality of life through vision research.

To achieve this mission, NEI provides leadership to:

Drive innovative research to understand the eye and visual system, prevent and treat vision diseases, and expand opportunities for people who are blind or require vision rehabilitation

Foster collaboration in vision research and clinical care to develop new ideas and share knowledge across other fields

Recruit, inspire, and train a talented and diverse new generation of individuals to expand and strengthen the vision workforce

Educate health care providers, scientists, policymakers, and the public about advances in vision research and their impact on health and quality of life",HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH
Indian Self-Determination,"To enable Indian tribes to assume the management and operation of programs, functions, services, and activities (PFSA) for the delivery of health care to Indian people.  To enter into a self- determination contract or contracts with Indian tribes or tribal organizations (T/TO) interested in transferring the responsibility for the administration and provision of health services from the government to tribal leadership.",93.441,100035685,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE
American Overseas Research Centers,"To enable American Overseas Research Centers, that are consortia of higher education institutions, to promote postgraduate research, exchanges, and area studies.",84.274,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
Undergraduate International Studies and Foreign Language Programs,"The Undergraduate International Studies and Foreign Language Program supports awards to institutions of higher education and public and nonprofit private agencies and organizations.  The awards assist:  (1) institutions of higher education to plan, develop, and carry out a program to strengthen and improve undergraduate instruction in international studies and foreign languages; and (2) associations and organizations to develop projects that will make an especially significant contribution to strengthening and improving undergraduate instruction in international studies and foreign languages.",84.016,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program,"Centers:  To promote instruction in modern foreign languages and area and international studies that are critical to national needs by supporting the establishment, strengthening and operation of such programs at colleges and universities.  Centers may focus on undergraduate training only or may be comprehensive, including undergraduate, graduate, and professional training components. Fellowships:  To meet the needs of the United States for experts in modern foreign languages combined with area studies and world affairs by supporting fellowships for undergraduate and graduate study at institutions of higher education.",84.015,100186697,,ED,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF"
University Transportation Centers Program,"The program awards grants to nonprofit institutions of higher learning for the purpose of establishing and operating university transportation centers that conduct research, education, and technology transfer programs addressing regional and national transportation issues.",20.701,100042830,"DOT invests in the future of transportation through its University Transportation Centers (UTC) Program, which awards and administers grants to consortia of colleges and universities across the United States.  The mission of the UTC Program is to advance innovative transportation research and technology, and develop the next generation of transportation professionals.  Each UTC is a consortium of two- and four-year colleges and universities the come together to form a unique center of transportation excellence on a specific research topic.",DOT,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY
Asset Concessions and Innovative Finance Assistance,"The objective of this program is to facilitate access to expert services for, and to provide grants to, eligible applicants to facilitate and evaluate public-private partnerships, including asset concessions, and to explore opportunities for innovative financing and delivery for eligible transportation projects.",20.945,100042830,"This Program awards monetary grants to successful applicants to acquire access to expert services to enhance the technical capacity of eligible entities to identify underutilized assets, that have the potential to be further developed and provide additional public benefits, in which the private sector partner could assume a greater role in project planning, development, financing, construction, maintenance, and operation, including by assisting eligible entities in entering into asset concessions.",DOT,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY
Public Health Nursing,"Public Health Nursing (PHN) patient care coordination activities aim to serve the patient and family in the home and in the community.  Preventative health care informs populations, promotes healthy lifestyles, and provides early treatment for illnesses.  The PHN’s expertise in communicable disease assessment, outreach, investigation, and surveillance aids in the management and prevention of the spread of communicable diseases.  PHNs conduct nurse home visiting services via referral for communicable disease investigation and treatment, which includes such services as health education/behavioral counseling for health promotion, risk reduction, and immunizations to prevent illnesses with a goal to detect and treat problems in their early stages.",93.383,100035685,"The Indian Health Service Public Health Nursing (PHN) Program is a community health nursing program that focuses on the goals of promoting health and quality of life, and preventing disease and disability.  The PHN Program provides quality, culturally sensitive health promotion and disease prevention nursing care services through primary, secondary, and tertiary prevention services to individuals, families, and community groups.  Program funds provide critical support for direct health care services in the community, which improve Americans’ access to health care.  The PHN Program supports population-focused services to promote healthier communities through community based nursing services, community development, and health promotion and/or disease prevention activities.  The PHN Program promotes the establishment of program plans based on community assessments and evaluations to prevent disease, promote health, and implement community based programs.  There is an emphasis on screening, home visits, immunizations, maternal-child health care, elder care, chronic disease, school services, health promotion and disease prevention, case management, population-based services, and community disease surveillance.  The PHN Program is available to support transitions of care from the clinical setting into the community with an emphasis on the clinical, preventive, and public health needs of American Indian/Alaska Native (AI/AN) communities.",HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE
STOP School Violence,"The goal of the STOP School Violence Program is to improve school security by providing students
and teachers with the tools they need to recognize, respond quickly to, and help prevent acts of
violence.

Objective for Training:  Train school personnel and educate students on preventing student violence against others and themselves. This can also include any program shown to improve school climate, including anti-bullying training, as well as specialized training for school officials to respond to mental health crises. 

Objective for school threat assessment and crisis intervention teams: To increase school safety by developing and implementing threat assessment and/or intervention teams to identify school violence risks and implement strategies to mitigate those risks. 

Objective for technology solutions: To implement a technology solution, such as an anonymous reporting technology that can be implemented as a smartphone APP, a hotline, or a website in the applicant’s geographic area designed to provide a way for students, teachers, faculty, and community members to anonymously identify school violence threats, or other technology solutions that will improve school safety.

Performance Measure 1:  Number of school staff trained; and,  

Performance Measure 2:  Number of technology solutions implemented (including anonymous reporting systems [apps] and/or emergency personnel communication systems, etc.)",16.839,100162432,"The STOP School Violence Program is designed to improve school security by providing students and teachers with the tools they need to recognize, respond quickly to, and prevent acts of violence. It provides funding to states, units of local government, federally recognized Indian tribes, public agencies (e.g., school districts, towns, cities and municipalities, individual schools, police departments, sheriff’s departments, governmental mental health service providers, and health departments), nonprofit entities to include private schools  to develop threat assessment and crisis intervention teams, and technology solutions such as anonymous reporting systems or other technology, designed to identify threats before they materialize, including those that originate from individuals with mental health issues; and for the training of students, school personnel and local law enforcement officers so that they can partner in preventing violent events from happening.",DOJ,"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS
New Bedford Whaling National Historic Park Cooperative Management,"Legislation passed by Congress allows for the historic park to work collaboratively with interested entities and individuals to provide for visitor understanding, appreciation and enjoyment of the park and surrounding historic areas.",15.940,100010512,,DOI,"INTERIOR, DEPARTMENT OF THE",NATIONAL PARK SERVICE
PHMSA Pipeline Safety Underground Natural Gas Storage Grant ,"Participating state entities, through annual Certification/Agreements with PHMSA, will inspect and enforce the federal underground storage regulations for intrastate underground natural gas storage facilities located within the state. ",20.725,100012552,"The UNGS Grant is a Formula Grant that provides funding to state UNGS safety programs under
the authority of 49 U.S.C. § 60107. The statute authorizes PHMSA to reimburse up to, but not
more than, 80 percent of the total cost of personnel, equipment, and activities reasonably
required by the state agency to conduct its UNGS safety program during a given calendar year.",DOT,"TRANSPORTATION, DEPARTMENT OF",PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION
Technical Assistance Grants,"Advancement of pipeline safety through the funding of local communities and organizations for technical assistance related to pipeline safety issues.  Technical assistance is defined as engineering, research, and other scientific analysis of pipeline safety issues, including the promotion of public participation on technical pipeline safety issues.",20.710,100012552,,DOT,"TRANSPORTATION, DEPARTMENT OF",PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION
Toxic Substances Compliance Monitoring Cooperative Agreements,"The objectives of this program are to: 1) assist Grantees, including States, the District of Columbia, the Commonwealth of Puerto Rico, Guam, America Samoa, the Northern Marianas, the Trust Territories of the Pacific Islands, the Virgin Islands, and Indian Tribes, in developing and maintaining compliance monitoring programs to prevent or eliminate unreasonable risks to health or the environment associated with chemical substances or mixtures in their communities, specifically Lead-based paint, Asbestos, and PCB; 2) encourage regulatory activities within the Grantees communities to establish their own programs for Lead-based paint and Asbestos (waiver programs); and 3) provide funds to support enforcement activities for Asbestos waiver state programs and Lead-based paint programs. EPA may provide funding for cooperative compliance monitoring grants to Grantees under TSCA to conduct inspections to ensure compliance with the PCB regulations, the Asbestos-in-Schools requirements (inspections at charter schools, public schools, private, non-profit schools and religious schools), the Model Accreditation Plan (MAP), TSCA section 6 Ban and Phase Out Rule, and the TSCA Asbestos Worker Protection Standards and to conduct Lead-based paint activities. Authorized Grantees also conduct enforcement responses for the Lead-based program. Grantees that have obtained an EPA waiver from the Asbestos regulation (Subpart E of Part 763) also have enforcement responsibilities. Funding Priorities - Fiscal Year 2024: Priorities for the TSCA PCB and Asbestos programs are: 1) ensure existing compliance monitoring programs continue to meet established standards; 2) promote activities that lead to waiver status for Asbestos programs; 3) ensure states meet EPA inspector training requirements necessary to obtain and keep EPA credentials in those programs which require the use of EPA credentials (the PCB compliance monitoring programs and Asbestos programs in non-waiver states); 4) provide inspection activity where there is an identified need including, but not limited to, Children's Health and Environmental Justice areas. FY 2024 funding priorities for States with authorized Lead-based paint programs will focus on individuals and firms which conduct lead abatement and renovation and their continuance with the training and certification, and work practice standards requirements. States with authorized renovation notice rules will also monitor those requirements.",66.701,100081847,"The Toxic Substances Compliance Monitoring Grant builds environmental partnerships with states, tribes, and territories to strengthen their ability to address environmental and public health threats from toxic substances. This State and Tribal Assistance Grant (STAG) is used to prevent or eliminate unreasonable risks to health or the environment and to ensure compliance with toxic substance regulations. These grants support inspection programs associated with Lead-based Paint (§402(a), §406(b), and the Renovation, Repair and Painting Rule (RRP); the Asbestos Hazard Emergency Response Act (AHERA); and Polychlorinated biphenyls (PCBs). The compliance monitoring activities conducted by the grantees are a cooperative endeavor addressing the priorities of the federal TSCA program and state, tribal, and territorial issues.",EPA,ENVIRONMENTAL PROTECTION AGENCY,
"Swift, Certain, and Fair Supervision Program: Applying the Principles Behind Project HOPE","The purpose of the Swift, Certain, and Fair (SCF) Supervision Program is to provide state, local, and tribal community supervision agencies with information, resources, and training and technical assistance (TTA) to engage in collaborative problem-solving with stakeholders using data and research-informed strategies to assess and improve responses to client behavior in accordance with the principles of swiftness, certainty, and fairness; improve supervision outcomes; prevent recidivism; and reduce crime in their jurisdictions. 

The objectives of the SCF initiative are to:

Develop and implement supervision strategies based on SCF principles, including responses to both positive and negative client behaviors; Reduce crime committed by, and improve outcomes for, people under supervision.
Identify a target population for the SCF initiative using a collaborative, data-driven process that is responsive to local circumstances; Evaluate the efficacy of SCF strategies to reduce recidivism and improve outcomes for people under community supervision; Increase the number of supervision decisions that are fair and consistently applied, and with consequences that are transparent; Promote and increase collaboration among agencies and officials who work in community supervision, courts, law enforcement, treatment, reentry, and related fields; Develop a plan to sustain effective SCF supervision strategies and related collaborations beyond the award period; and, Increase participant perceptions of fairness, consistency, and transparency in supervision decisions.

Performance Measure 1: Percent of individuals in Swift Certain and Fair-funded programs that did not complete the program because of court or criminal involvement, lack of program engagement, or absconding;  

Performance Measure 2: Total number of participants that have completed all program requirements or met program criteria; and,

Performance Measure 3:  Total number of participants served.",16.828,100162432,"The purpose of the Improving Community Supervision Outcomes Through Swift, Certain, and Fair (SCF) Responses Program is to provide state, local, and tribal community supervision agencies with information, resources, and training and technical assistance (TTA) to develop and test new or enhanced applications of the swift, certain, and fair principles of intervention to reduce recidivism and improve outcomes for people under community supervision.",DOJ,"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS
Federal Historic Preservation Tax Incentive,"Commonly known as the Rehabilitation Tax Credit or the Historic Tax Credit, the program provides a 20-percent federal tax credit to property owners who undertake a substantial rehabilitation of a historic building in a business or income-producing use while maintaining its historic character. The credit promotes historic preservation and community revitalization through the private investment in the rehabilitation of historic buildings.",15.961,100010512,"""Assistance Listing Description
[Revised] This is a non-monetary program that provides certifications of historic rehabilitations to private property owners. The certifications are used by the property owners to claim tax credits from the IRS.",DOI,"INTERIOR, DEPARTMENT OF THE",NATIONAL PARK SERVICE
State Criminal Alien Assistance Program,"The State Criminal Alien Assistance Program (SCAAP) is a payment program designed to provide federal assistance to states and localities that incur certain types of costs due to the incarceration of undocumented criminal aliens during a particular 12-month reporting period.

Performance Measure 1:  Number of state and local jurisdictions receiving SCAAP funds for incarcerating undocumented criminal aliens; and,    

Performance Measure 2:  Number of inmate days reimbursed to state and local jurisdictions for eligible inmates.",16.606,100162432,"OJP’s Bureau of Justice Assistance (“BJA”) administers SCAAP. Under SCAAP, OJP makes payments to states and units of local government that incur certain types of costs due to incarceration of undocumented criminal aliens during a specific 12-month reporting period.” Payments are made in connection with undocumented aliens who had been convicted of at least one felony or two misdemeanors (typically, for violations of state or local law), and who were incarcerated under the legal authority of the applicant government for at least four consecutive days during the reporting period.",DOJ,"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS
"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements ","The goals of this assistance listing are to (1) conduct site characterization activities at potential or confirmed hazardous waste sites; (2) undertake response planning and implementation actions at sites on the National Priorities List (NPL) to clean up the hazardous waste sites that are found to pose hazards to human health; and (3) effectively implement the statutory requirements of CERCLA 121(f) which mandates substantial and meaningful State involvement. 

Funding Priorities - Fiscal Year 2023:  Funding must be used at specific hazardous waste sites to: (1) conduct non-time critical removal actions; (2) perform site characterization activities such as preliminary assessments, site inspections, remedial investigations, feasibility studies, and remedial design activities at potential or confirmed hazardous waste sites; (3) conduct remedial actions (i.e., cleanup) at uncontrolled hazardous waste sites as listed on the National Priorities List (NPL); (4) support CERCLA implementation activities; (5) identify Potentially Responsible Parties (PRPs); (6) conduct settlement negotiations; (7) take enforcement actions against PRPs; and (8) oversee PRP cleanups.",66.802,100081847,"Site-specific Superfund support for states, tribes and political subdivisions.",EPA,ENVIRONMENTAL PROTECTION AGENCY,
