PON ID,Category Code,Category,FA Code,Focus Area,PON2,PON Definition
8IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Facilitate International Student Exchange,"A beneficiary demonstrated one or more of the following results within the past year: -Engaged in international study or exchange programs that expand educational experience; -Gained exposure to global perspectives to enhance career readiness and civic understanding; -Increased cross-cultural competence, foreign language proficiency, or global awareness."
5IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Improve Regional Security Stability and Cooperation,"A beneficiary attained one or more of the following results within the past year: -Collaborated with regional partners on shared security goals; -Improved capacity to manage conflict, crisis, and humanitarian challenges; -Demonstrated progress toward political, social, and economic stability; -Enhanced support for sustainable peace and reduced regional volatility."
7ND,2025#ND,National Defense,ND.FA1,Defense Capability,Strengthen Operational Readiness of Defense Units,"A beneficiary demonstrated one or more of the following results within the past year: -Conducted unit-level exercises or simulations to validate readiness for joint or strategic defense missions; -Met operational benchmarks in force structure, equipment readiness, and logistical support for rapid deployment; -Demonstrated coordinated capability to execute assigned missions in domestic or international security contexts."
5ND,2025#ND,National Defense,ND.FA1,Defense Capability,Strengthen Operational Readiness of Defense Personnel,"A beneficiary demonstrated one or more of the following results within the past year: -Completed mission-critical training and certifications aligned with national defense objectives; -Met physical, psychological, and technical standards required for deployment in high-threat or strategic environments; -Demonstrated proficiency in individual combat, intelligence, or support roles; -Maintained deployment availability and role-specific readiness for national security operations."
4ND,2025#ND,National Defense,ND.FA1,Defense Capability,Strengthen Nuclear Security Infrastructure,"A beneficiary attained one or more of the following results within the past year: -Upgraded security of nuclear materials and facilities; -Decrease in unplanned scrams or safety system failures; -Secured, removed, or eliminated weapons-usable nuclear or radiological material; -Expanded technical capabilities for securing, monitoring, and safely managing nuclear materials and facilities."
2ND,2025#ND,National Defense,ND.FA1,Defense Capability,Advance Homeland Security Research,"A beneficiary attained one or more of the following results within the past year: -Conducted, supported, or published research focused on protecting the U.S. from acts of terrorism, natural disasters, or weapons of mass destruction; -Developed or improved technologies, procedures, or systems that support emergency response, national security, or public safety operations; -Advanced research that enhances the resilience and readiness of homeland security agencies and infrastructure."
1ND,2025#ND,National Defense,ND.FA1,Defense Capability,Advance Defense Research,"A beneficiary attained one or more of the following results within the past year: -Conducted, supported, or published basic, applied, or advanced research with potential military or dual-use applications; -Developed or enhanced technologies, systems, or protocols that strengthen national defense capabilities; -Facilitated the transition of research innovations into practical tools or systems for military use and strategic advantage."
3ND,2025#ND,National Defense,ND.FA1,Defense Capability,Strengthen Defense Academic Partnerships,"A beneficiary accomplished one or more of the following results within the past year: -Conducted, supported, or published research in support of national defense priorities; -Participated in an internship, mentor, or partnership between an academic institution and government defense entity."
2A,A#,Agricultural,A.FA1,Agricultural Resources and Services,Increase Competitiveness of Agricultural Production,"A beneficiary attained one or more of the following results within the past year: -Increased access to domestic and international markets through improved distribution networks, branding, or trade participation; -Strengthened the ability of producers to compete by connecting them with buyers, investors, or value-added opportunities; -Promoted fair and open market conditions that support rural economies and agricultural business growth."
1A,A#,Agricultural,A.FA1,Agricultural Resources and Services,Increase Competitiveness of Agricultural Markets,"A beneficiary attained one or more of the following results within the past year: -Expanded production capacity through targeted incentives, modernized equipment, or adoption of higher-yield, resource-efficient practices; -Introduced new crops, livestock breeds, or production methods to meet emerging consumer and industry demand; -Improved operational efficiency to support profitability and long-term sustainability of agricultural enterprises."
10B,B#,Business and Commerce,B.FA1,Business Development,Reduce Regulatory Cost and Administrative Delay,A beneficiary demonstrated one or more of the following results within the past year: -Streamlined processes to decrease backlogs or improve efficiency; -Implemented digital services to strengthen service delivery and reduce administrative burden; -Reduced the amount of time spent on compliance activities.
6B,B#,Business and Commerce,B.FA1,Business Development,Increase Manufacturing Technology Adoption,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented new or advanced technologies, such as automation, robotics, or 3D printing; -Increased revenue or sales attributed to the technology adoption; -Achieved cost savings due to enhanced efficiency from investment in new technology and process enhancements.  "
12B,B#,Business and Commerce,B.FA2,Economic Development,Improve Maritime Industry Competitiveness,"A beneficiary demonstrated one or more of the following results within the past year: -Modernized or upgraded maritime fleet, infrastructure, or operational systems to enhance maritime efficiency and competitiveness; -Developed workforce skills and capabilities through training, education, or professional development programs tailored to the maritime sector; -Advanced maritime technologies or operational practices that improve safety, performance, or global market competitiveness; -Strengthened U.S. maritime commerce and ensured a robust merchant marine fleet supporting commercial objectives. "
14B,B#,Business and Commerce,B.FA2,Economic Development,Improve Supply Chain Resilience,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented strategies to identify, assess, and mitigate risks across the supply chain (e.g., disruptions from natural hazards, market fluctuations, or transportation bottlenecks); -Strengthened operational capacity to maintain continuity of goods and services under stress or unexpected disruptions; -Enhanced coordination, communication, or collaboration among suppliers, distributors, and stakeholders to reduce supply chain vulnerabilities; -Adopted technologies, tools, or best practices that improve the flexibility, efficiency, and reliability of supply chain operations."
11B,B#,Business and Commerce,B.FA2,Economic Development,Improve Distressed Regional Economies,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented initiatives to attract businesses, create jobs, or stimulate economic activity in distressed regions; -Developed or improved infrastructure, technical assistance programs, or workforce development opportunities that support economic growth; -Strengthened overall economic conditions in areas experiencing high unemployment, poverty, population loss, or industry decline."
15B,B#,Business and Commerce,B.FA2,Economic Development,Increase Access to Markets ,"A beneficiary demonstrated one or more of the following results within the past year: -Expanded opportunities for individuals, businesses, or producers to sell goods and services in local, regional, national, or international markets; -Developed or strengthened channels, networks, or partnerships that facilitate market entry or growth; -Improved infrastructure, platforms, or systems that enable more efficient and reliable market access."
2C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Improve Government Services ,"A beneficiary experienced one or more of the following results within the past year: -Accessed government services that are more efficient, timely, and responsive to individual or community needs; -Reduced administrative burdens through simplified processes, better communication, or improved customer service; -Increased confidence in public institutions due to reliable service delivery and responsible use of public resources."
11C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Strengthen Community Financial Institutions ,"A beneficiary demonstrated one or more of the following results within the past year: -Enhanced operational capacity, financial resources, or service capabilities of community-based financial institutions, particularly Community Development Financial Institutions (CDFIs); -Increased lending capacity, expanded service areas, or strengthened financial stability to better serve underbanked communities; -Improved the design, delivery, or accessibility of financial products and services."
8C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Improve Research in Public Infrastructure Innovations ,"A beneficiary attained one or more of the following results within the past year: -Conducted or supported research focused on improving the design, durability, or cost-effectiveness of public infrastructure; -Developed or tested new materials, construction methods, or maintenance strategies that enhance long-term performance and reduce taxpayer burden; -Advanced practical solutions that strengthen roads, bridges, public buildings, or other physical assets serving local communities."
10C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Repair Existing Community Infrastructure,"A beneficiary achieved one or more of the following results within the past year: -Restored damaged or deteriorating infrastructure to safe and usable condition; -Responded to urgent infrastructure needs that affect public safety, mobility, or access to services; -Improved reliability and appearance of community assets through targeted repair projects."
5C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Improve Water Supply,A beneficiary achieved one or more of the following results within the past year: -Reduced water losses through a more efficient and reliable delivery system; -Increased access to an improved water source including piped water on premises. 
9C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Maintain Existing Community Infrastructure,"A beneficiary achieved one or more of the following results within the past year: -Performed routine upkeep of public infrastructure to ensure continued functionality and safety; -Extended the useful life of community assets through regular inspections, cleaning, and preventive maintenance; -Supported local efforts to preserve infrastructure investments and avoid costly repairs or replacements."
4C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Improve Water Quality,A beneficiary achieved one or more of the following results within the past year: -Decreased levels of pollutants to meet water quality standards; -Increased investment in water quality infrastructure projects. 
1C,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Construct New Community Infrastructure,"A beneficiary achieved one or more of the following results within the past year: -Built new physical infrastructure to support local needs and economic activity; -Expanded access to essential services through the construction of facilities like schools, clinics, or transportation hubs; -Invested in durable, cost-effective infrastructure to strengthen community resilience and long-term growth."
3C,C#,Community Development,C.FA1,"Community, Area, and Regional Development","Improve Public, Civic, and Community Spaces ","A beneficiary accessed or benefited from one or more of the following results within the past year: -Well-maintained public spaces that support civic engagement and quality of life; -Improved accessibility, safety, or usability of shared spaces through upgrades, repairs, or thoughtful design"
1E,E#,Cultural Affairs,E.FA1,Access and Appreciation,Increase Humanities Engagement,"A beneficiary demonstrated one or more of the following results: -Increased attendance at humanities-focused events (lectures, exhibitions, community forums, etc.); -Increased engagement with humanities-related media (e.g., podcasts, documentaries, publications, online courses, digital archives); -Increased participation in humanities-related discussions, debates, or educational forums; -Increased repeat participation or ongoing involvement with humanities programs over time."
4F,F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",Improve Natural Hazard Forecasting,A beneficiary demonstrated one or more of the following results within the past year: -Incorporated advanced modeling or monitoring tools to improve accuracy of hazard forecasts; -Improved data collection and analysis; -Integrated new technologies like AI and machine learning into forecasting models. 
9F,F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",Strengthen Emergency Coordination,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented or upgraded an emergency notification system that can rapidly reach the affected population; -Coordinated emergency response through mutual aid agreements, integrated alert platforms, and joint training exercises; -Reduced deployment time for personnel and resources. "
1F,F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",Improve Agricultural Resilience to Hazards,"A beneficiary attained one or more of the following results within the past year: -Targeted incentives to safeguard agricultural operations against unexpected disruptions (e.g., loss reimbursement programs, tax credits, subsidized insurance, or technical advisory services); -Reduced vulnerability of agricultural production to market fluctuations, extreme weather events, pest outbreaks, or supply shortages through risk assessment and mitigation planning; -Maintained stable production levels and revenue streams despite operational challenges."
5F,F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",Improve Resilience of Rural Communities to Hazards,"A beneficiary attained one or more of the following results within the past year: -Accessed community-level incentives or supports that reduce the impact of unexpected disruptions (e.g., disaster relief funds, infrastructure protections, community-based advisory services); -Reduced vulnerability of rural households and businesses to market fluctuations, extreme weather events, or supply shortages through collective risk assessment and mitigation planning; -Maintained continuity of essential services, livelihoods, and overall community well-being despite operational challenges."
7F,F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",Reduce Disaster Relief Costs,"A beneficiary attained one or more of the following results within the past year: -Access to affordable insurance; -Increase update of insurance options; -Implementation of community mitigation activities, including hardening critical infrastructure against disaster events; -Increase community stakeholder readiness and participation in emergency planning activities. "
1G,G#,Education,G.FA1,Early Childhood Education and Childcare,Increase Access to Affordable Childcare,"A beneficiary accessed one or more of the following results within the past year: -Regular childcare services that are financially manageable based on household income or eligibility for support; -Childcare options that allow parents to work, pursue education, or meet family obligations without undue financial strain; -Practical assistance, such as subsidies or flexible payment plans, that helps families afford consistent care for their children. Decrease in financial burden of childcare cost; -Decrease in enrollment gaps."
2G,G#,Education,G.FA1,Early Childhood Education and Childcare,Increase Access to Quality Childcare,"A beneficiary accessed one or more of the following results within the past year: -A childcare setting that meets recognized standards for safety, staff training, and age-appropriate learning environments; -Hiring and retention of licensed or credentials professionals who support healthy child development; -High-quality, reliable, and consistent care provided by licensed or credentialed professionals that promotes children's well-being. "
4G,G#,Education,G.FA2,Educational Environments,Improve School Meal Nutrition,"A beneficiary attained one or more of the following results within the past year: -Received meals that meet or exceed national dietary guidelines for essential nutrients; -Consumed meals with reduced levels of sodium, added sugars, and unhealthy fats; -Had access to appealing food options that encourage healthy eating habits; -Participated in nutrition education or feedback initiatives that informed meal planning and choices; -Decrease in student food insecurity; -Decrease in student lunch debt; Decrease in obesity rate among student population.  "
6G,G#,Education,G.FA2,Educational Environments,Increase Family-School Engagement,"A beneficiary attained one or more of the following results within the past year: -Increase in family participation in school events, parent-teacher meetings, or volunteer opportunities; -Improvement in two-way communication between school staff and families (e.g., newsletters, apps, home visits); -Received support from family members in academic activities such as homework, reading, or attendance; -Participated in programs that build family capacity to support learning, such as family literacy or parenting workshops."
3G,G#,Education,G.FA2,Educational Environments,Improve Educational Infrastructure,"A beneficiary attained one or more of the following results within the past year: -Gained access to newly constructed or renovated educational facilities that meet safety and accessibility standards -Benefited from improved classroom environments that support modern teaching methods (e.g., flexible seating, lighting, acoustics); -Utilized upgraded technology infrastructure that enhances digital learning and connectivity; -Experienced reduced overcrowding or increased availability of specialized learning spaces (e.g., labs, libraries)."
5G,G#,Education,G.FA2,Educational Environments,Improve School Safety,"A beneficiary attained one or more of the following results within the past year: -Attended a school with improved physical safety features (e.g., secure entry points, emergency systems); -Experienced a reduction in bullying, harassment, or violence through targeted prevention programs; -Benefited from a positive school climate that promotes respect, inclusion, and emotional well-being; -Participated in safety drills or preparedness training that increased awareness and response readiness."
7G,G#,Education,G.FA3,K-12 Education,Increase Charter School Access,A beneficiary achieved one or more of the following results within the past year: -Increase knowledge and communication about charter school; -Increase access to charter school options; -Increase enrollment in charter school. 
1H,H#,Employment and Labor,H.FA1,Workforce Development,Improve Workplace Health protections,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented or improved at least one formal policy or program that protects worker health (e.g., paid sick leave, family/medical leave, employer-sponsored health screenings, vaccination access, or wellness program); -Documented evidence of utilization by employees (e.g., HR records of employees taking sick leave, records of on-site vaccinations, or participation logs in wellness activities); -Improvement in the health standard metrics (e.g. occupational illness rate, workplace-related injuries, work-related mental health issues, exposure to chemical and hazardous substances, etc.). "
2H,H#,Employment and Labor,H.FA1,Workforce Development,Improve Workplace Safety protections,"A beneficiary demonstrated one or more of the following results within the past year: -Adoption of workplace safety standards consistent with OSHA or state-level requirements (e.g., provision of protective equipment, regular safety training, emergency preparedness plans); Communication of workplace safety standards or protocols to all employees(e.g. provision of training, annualized training, etc.); -Implementation of safety standards or protocols (e.g., documentation of employee completion of training, safety inspection reports, incident logs showing adherence to protocols, records of equipment distribution); -Improvement in the safety standard metrics (e.g. fatalities, total recordable incident rate, injuries and illness, days away, etc.). "
12E,I#,Energy,I.FA1,Energy Supply,Increase Resilience of Power Supply ,"A beneficiary demonstrated one or more of the following results within the past year: -Reduced frequency or duration of outages, blackouts, or service interruptions; -Improvements in power quality (voltage stability, fewer surges or drops)."
7E,I#,Energy,I.FA1,Energy Supply,Improve Supply of Power,A beneficiary demonstrated one or more of the following results within the past year: -Increased production of power through new or expanded generation facilities.
9E,I#,Energy,I.FA1,Energy Supply,Increase Energy Deployment,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented or deployed renewable and low-emission energy technologies at commercial or community scale; -Expanded energy infrastructure to support wider adoption and integration of clean energy solutions; -Increased investment, financing, or resources directed toward innovative technologies that reduce dependence on fossil fuels; -Facilitated broader market penetration, adoption, or utilization of renewable and low-emission energy solutions."
10E,I#,Energy,I.FA1,Energy Supply,Increase Energy Efficiency,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented measures to reduce energy consumption per unit of output or service across transportation, buildings, industry, or government operations; -Improved efficiency in fuel use, building performance, industrial processes, or federal facilities while maintaining or enhancing service quality; -Adopted technologies, practices, or designs that optimize energy use and reduce waste; -Measured and tracked reductions in energy usage to demonstrate performance improvements."
11E,I#,Energy,I.FA1,Energy Supply,Increase Energy Manufacturing,"A beneficiary demonstrated one or more of the following results within the past year: -Expanded domestic manufacturing capacity for components, materials, or technologies supporting renewable and low-emission energy systems; -Increased production of clean energy infrastructure, such as solar panels, wind turbines, batteries, or electric vehicle components."
4E,I#,Energy,I.FA1,Energy Supply,Improve Grid Reliability,"A beneficiary demonstrated one or more of the following results within the past year: -Enhanced the resilience of electric power infrastructure against physical, environmental, or cyber threats; -Improved response, restoration, or continuity of electricity delivery during outages, peak demand, or emergency conditions; -Modernized transmission, distribution, or grid management systems to increase reliability and efficiency; -Strengthened operational practices, monitoring, or coordination to ensure consistent and stable power delivery."
6E,I#,Energy,I.FA1,Energy Supply,Improve Rural Energy Infrastructure,"A beneficiary demonstrated one or more of the following results within the past year: -Developed or upgraded energy systems to increase efficiency, reliability, or accessibility in rural and remote areas; -Reduced energy costs and improved energy efficiency for agricultural producers, rural businesses, or households; -Enhanced the quality, resilience, or reliability of energy delivery infrastructure in underserved rural communities; -Implemented technologies, practices, or programs that support sustainable and consistent energy access for rural populations."
5E,I#,Energy,I.FA1,Energy Supply,Improve Nuclear Technology Development,"A beneficiary demonstrated one or more of the following results within the past year: -Conducted research, development, or testing of innovative nuclear technologies that advance science, engineering, or power generation; -Enhanced nuclear energy production capabilities through improved efficiency, safety, or operational performance; -Developed technologies or practices that address nuclear security, waste management, or regulatory compliance; -Facilitated deployment or adoption of advanced nuclear systems to meet energy needs and support broader energy goals."
8E,I#,Energy,I.FA1,Energy Supply,Improve Tribal Energy Development,"A beneficiary demonstrated one or more of the following results within the past year: -Built technical capacity and expertise within tribal nations to develop, manage, or operate energy resources on tribal lands; -Enhanced energy infrastructure to support reliable, efficient, and sustainable energy production and delivery."
4J,J#,Environmental Quality,J.FA1,Pollution Control and Abatement,Reduce Physical Hazards,"A beneficiary demonstrated one or more of the following results within the past year: -Rehabilitated dangerous physical environments'such as abandoned land mines, unstable terrain, or degraded watersheds'to reduce risks to people and property; -Improved safety in homes and public spaces through common-sense measures like installing carbon monoxide detectors, removing lead hazards, or reinforcing structures; -Enhanced preparedness and mitigation strategies to protect communities from physical threats such as unsafe infrastructure, natural hazards, or legacy industrial sites."
3J,J#,Environmental Quality,J.FA1,Pollution Control and Abatement,Improve Water Quality ,"A beneficiary demonstrated one or more of the following results within the past year: -Reduced harmful runoff and pollutants in local water sources through practical improvements in treatment systems, filtration, or land management; -Strengthened local capacity to monitor water quality and respond quickly to contamination risks that could affect families, farms, or businesses; -Promoted responsible practices that help maintain clean, safe water for drinking, agriculture, and economic use."
1J,J#,Environmental Quality,J.FA1,Pollution Control and Abatement,Improve Air Quality ,"A beneficiary demonstrated one or more of the following results within the past year: -Reduced exposure to harmful airborne particles or gases through practical improvements in ventilation, filtration, or emissions control; -Strengthened local systems to monitor air quality and respond to risks that could affect families, workers, or vulnerable populations; -Promoted responsible practices that help maintain clean air in homes, schools, and workplaces to support health and productivity."
2J,J#,Environmental Quality,J.FA1,Pollution Control and Abatement,Improve Monitoring Capacity of Air and Water ,"A beneficiary demonstrated one or more of the following results within the past year: -Expanded or upgraded systems for collecting, analyzing, and reporting air and water quality data; -Used monitoring results to guide operational or regulatory decisions that improve environmental conditions; -Increased public access to clear, timely, and actionable air and water quality information."
1K,K#,Food and Nutrition,K.FA1,Food and Nutrition Assistance,Reduce Food Waste,"A beneficiary demonstrated one or more of the following results within the past year: -Decreased amount of edible food discarded or lost across the food supply chain (e.g., during production, processing, distribution, retail, or household use); -Implemented effective storage, handling, or distribution practices that extend food shelf life and prevent spoilage; -Increased practices that maximize use of edible food (e.g., meal planning, repurposing leftovers, appropriate portioning); -Increased redistribution of surplus edible food to individuals or organizations (e.g., donations to food banks, community programs)."
2L,L#,Health,L.FA2,Health and Wellbeing,Reduce Antimicrobial Resistance,"A beneficiary demonstrated one or more of the following results within the past year: -Improved adherence to proper antimicrobial use, including taking prescribed doses as directed and completing full treatment courses; -Reduced inappropriate or unnecessary use of antimicrobials in healthcare or animal care settings."
6L,L#,Health,L.FA2,Health and Wellbeing,Reduce Caregiver Burden,"A beneficiary attained one or more of the following results within the past year: -Increased access to and utilization of respite care, counseling, or caregiver support services; -Reduced reported levels of stress, fatigue, anxiety, or depression associated with caregiving responsibilities; -Improved ability to manage time, finances, and personal health alongside caregiving duties; -Enhanced capacity to sustain caregiving over time without negative effects on personal well-being."
1L,L#,Health,L.FA2,Health and Wellbeing,Increase Access to Independent Living (ADD: for Individuals with Disabilities),"A beneficiary attained one or more of the following results within the past year: -Greater ability to live independently in their chosen community setting; -Increased autonomy in daily decision-making and self-management; -Reduced reliance on institutional or restrictive living arrangements; -Enhanced capacity to participate fully in community life, including social, educational, and vocational activities."
3L,L#,Health,L.FA2,Health and Wellbeing,Reduce Cancer Mortality,A beneficiary achieved one or more of the following results within the past year: -Reduction in the number of deaths attributable to cancer; -Increased survival rates following cancer diagnosis.
15L,L#,Health,L.FA4,Healthcare Innovation,Advance Medical Research,"A beneficiary achieved one or more of the following results within the past year: -Increased development of new diagnostic tools, practices, or treatments; -Generated findings that contribute to evidence-based medical practice."
16L,L#,Health,L.FA4,Healthcare Innovation,Expand Preventive Healthcare Innovations,"A beneficiary achieved one or more of the following results within the past year: -Increased availability of preventive tools or interventions (e.g., vaccines, screenings); -Improved early detection of diseases through innovative diagnostics."
12L,L#,Health,L.FA5,Healthcare Quality and Delivery,Improve Patient Security,"A beneficiary demonstrated one or more of the following results within the past year: -Received care in facilities and from providers that implemented robust technical safeguards, such as end-to-end encryption, intrusion detection, secure log monitoring, and multi-factor authentication to protect electronic health records; -Experienced zero incidents of unauthorized system access, data tampering, or breaches of protected health information; -Benefited from prompt security alerts, containment measures, and remediation support in the event of any attempted cyber intrusion."
13L,L#,Health,L.FA5,Healthcare Quality and Delivery,Increase Patient Privacy,"A beneficiary demonstrated one or more of the following results within the past year: -Received care from providers and facilities that ensured personal health information was collected, stored, and shared only for authorized purposes; -Exercised full control over disclosures of protected health information, including the ability to grant, restrict, or revoke consent at any time; -Received information about their privacy rights, the specific uses of their information, and procedures to file concerns or complaints about privacy violations."
14L,L#,Health,L.FA6,Veteran Health,Increase Mental and Physical Well-Being Support for Veterans,"A beneficiary demonstrated one or more of the following results within the past year: -Improved mental symptoms, including decreased anxiety, depression, and distress; -Improved physical fitness, including increased strength, balance, and flexibility; -Improved quality of life through improved health."
2M,M#,Housing,M.FA1,Housing and Homelessness,Reduce Foreclosures,A beneficiary demonstrated one or more of the following results within the past year: -Decreased foreclosures on residential property or agricultural land; -Secured financial assistance or loan modification that enabled continuation of mortgage or loan payments; -Accessed legal protections or mediation services that prevented or delayed foreclosure proceedings.
1N,N#,Income Security and Social Services,N.FA1,Burial Benefits,Increase Access to Benefits and Services upon Veteran's death,"A beneficiary achieved one or more of the following results within the past year: -Burial in a VA-maintained national, state, or tribal veterans' cemetery, or receipt of a burial allowance for a private cemetery; -Provision of a government-furnished headstone, marker, medallion, flag, or memorial certificate; -Financial support for eligible burial, funeral, plot, or transportation costs."
2N,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Access to Jobs ,"A beneficiary achieved one or more of the following results within the past year: -Reduced barriers to employment (e.g., transportation, training, certifications); -Increased connections to employers or job placement services (e.g., increase in attendance rate of job fairs hosted)."
3N,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Knowledge of Employee Benefits and Security ,"A beneficiary attained one or more of the following results within the past year: -Increased knowledge of benefits (e.g., knowledge of paid sick and vacation days policies, medical insurance and retirement benefits); -Increased knowledge of better working environments (e.g., knowledge of types of scheduling, safe and healthy work environments, accommodations); -Increased knowledge of factors that improve job security (e.g., knowledge of yearlong contracts, protections against dismissal)."
12P,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Improve Investigatory Capacity of Criminal Activity,"A beneficiary demonstrated one or more of the following results within the past year: -Strengthened ability to collect, analyze, and document evidence in support of criminal investigations; -Improved coordination among law enforcement agencies during case development and information sharing; -Applied investigative practices that uphold legal standards and protect individual rights; -Increased resolution of cases through enhanced tools, training, or procedural improvements."
14P,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Improve Prosecutorial Capacity of Criminal Activity,"A beneficiary demonstrated one or more of the following results within the past year: -Prosecuted criminal cases in a manner consistent with fair legal standards and due process; -Reduced reliance on incarceration for non-violent offenses by utilizing appropriate alternatives; -Reviewed and corrected past cases involving unjust sentencing or wrongful convictions; -Strengthened legal processes to support timely, equitable, and transparent prosecution outcomes."
18P,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Increase resolution or closure of cold cases,"A beneficiary attained one or more of the following results within the past year: -Identified new leads or suspects in previously unsolved violent crimes through modern investigative techniques (e.g., DNA analysis, digital forensics); -Successfully prosecuted or legally resolved cases that had remained open for extended periods; -Provided verified information or evidence that contributed to case closure or reclassification; -Facilitated meaningful closure for victims' families through official acknowledgment, justice processes, or public recognition."
13P,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Improve Missing Person Response and Recovery,"A beneficiary achieved one or more of the following results within the past year: -Reduced response times in locating and assisting missing persons; -Increased recovery rates of missing persons; -Improved coordination and information-sharing among law enforcement, emergency services, and community partners."
15P,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Improve Sexual Assault Evidence Collection,A beneficiary achieved one or more of the following results within the past year: -Increased accuracy and completeness of evidence collected in sexual assault cases; -Reduced time between incident reporting and evidence collection; -Improved adherence to best practices and protocols for evidence handling.
17P,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Increase Capacity to Respond to Sexual Assault,"A beneficiary achieved one or more of the following results within the past year: -Increased number of trained personnel available to respond to sexual assault cases; -Expanded availability of services and resources for survivors; -Improved coordination among law enforcement, medical, and advocacy organizations."
21P,P#,"Law, Justice, and Legal Services",P.FA3,Tribal Independence and Autonomy,Improve Sexual Assault Response on Tribal Lands,"A beneficiary attained one or more of the following results within the past year: -Received support services within a tribal jurisdiction; -Benefited from improved coordination among tribal justice, health, and victim advocacy systems; -Experienced strengthened tribal capacity to investigate, manage, and resolve sexual assault cases; -Participated in tribal-led outreach or education efforts aimed at prevention and community awareness."
20P,P#,"Law, Justice, and Legal Services",P.FA3,Tribal Independence and Autonomy,Improve Public Safety on Tribal Lands,"A beneficiary attained one or more of the following results within the past year: -Benefited from tribal-led law enforcement or emergency response systems that are culturally and jurisdictionally appropriate; -Experienced a reduction in crime or hazards due to community-driven safety initiatives on tribal lands; -Gained access to infrastructure improvements (e.g., roads, lighting, communications) that support safety in tribal communities; -Participated in tribal programs that promote public safety through education, prevention, or intergovernmental coordination."
2P,P#,"Law, Justice, and Legal Services",P.FA5,Cybersecurity,Improve Cyber Incident Detection,A beneficiary demonstrated one or more of the following results within the past year: -Strengthened systems and tools to identify cyber threats early and accurately; -Improved monitoring and analysis of network activity to detect suspicious behavior or vulnerabilities; -Enhanced coordination across agencies or organizations to share threat intelligence and prevent attacks.
4P,P#,"Law, Justice, and Legal Services",P.FA5,Cybersecurity,Improve Election Security,"A beneficiary demonstrated one or more of the following results within the past year: -Strengthened protection of election infrastructure and data through implementation of advanced cybersecurity and physical safeguards; -Demonstrated ability to detect, prevent, and respond to unauthorized access, cyber threats, or foreign interference in electoral processes; -Improved transparency and public confidence in the integrity of election systems through secure and verifiable practices."
3P,P#,"Law, Justice, and Legal Services",P.FA5,Cybersecurity,Improve Cyber Incident Response,A beneficiary demonstrated one or more of the following results within the past year: -Improved operational execution and coordination during cyber incidents to minimize disruption; -Demonstrated resilience through timely recovery and mitigation of cybersecurity events; -Strengthened protocols and training to ensure effective response to cyber threats affecting critical systems or services.
8P,P#,"Law, Justice, and Legal Services",P.FA6,Domestic Threats and Hazards,Improve Operational Readiness of Critical Assets,"A beneficiary demonstrated one or more of the following results within the past year: -Maintained essential facilities, equipment, or systems in a state of readiness for rapid activation during national emergencies; -Conducted operational drills to validate asset functionality and response capability; -Ensured availability and accessibility of critical assets for defense, continuity of government, or emergency response missions."
9P,P#,"Law, Justice, and Legal Services",P.FA6,Domestic Threats and Hazards,Improve Security of Critical Assets,"A beneficiary demonstrated one or more of the following results within the past year: -Implemented physical security measures (e.g., barriers, surveillance, access controls) to prevent unauthorized access or tampering; -Increased number of threat assessments, inspections, or audits to identify and mitigate vulnerabilities; -Maintained compliance with national security standards for the protection of high-value or mission-critical assets; -Demonstrated the ability to detect and respond to physical security breaches or attempted intrusions."
