`,name,description,agency,subagency,category,subcategory,type,assistance_type,2022_outlays,2022_foregone_revenue,2023_outlays,2023_foregone_revenue,2024_outlays,2024_foregone_revenue
TC.147,Net exclusion of pension contributions and earnings: Individual Retirement Accounts ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,33550000000
TC.148,Net exclusion of pension contributions and earnings: Low and moderate income savers credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,1870000000
TC.149,Net exclusion of pension contributions and earnings: Self-Employed plans ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,39350000000
TC.150,Small employer pension plan startup credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,0
TC.151,Exclusion of other employee benefits: Premiums on group term life insurance ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,3670000000
TC.152,Exclusion of other employee benefits: Premiums on accident and disability insurance ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,1800000000
TC.153,Income of trusts to finance supplementary unemployment benefits ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,50000000
TC.154,Income of trusts to finance voluntary employee benefits associations ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,1350000000
TC.155,Special Employee Stock Ownership Plan (ESOP) rules,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,280000000
TC.156,Additional deduction for the blind ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,50000000
TC.157,Additional deduction for the elderly ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,8120000000
TC.158,Deductibility of casualty losses ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,0
TC.159,Earned income tax credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,3010000000
TC.160,Recovery rebate credits,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,91000000
TC.161,"Exclusion of social security benefits: Social Security benefits for retired and disabled workers and spouses, dependents and survivors",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Social Security,tax_expenditure,Tax Expenditure,,,,,,27270000000
TC.162,Exclusion of social security benefits: Credit for certain employer contributions to social security,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Social Security,tax_expenditure,Tax Expenditure,,,,,,1740000000
TC.163,Exclusion of veterans death benefits and disability compensation ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Veterans Benefits and Services,tax_expenditure,Tax Expenditure,,,,,,13400000000
TC.164,Exclusion of veterans pensions ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Veterans Benefits and Services,tax_expenditure,Tax Expenditure,,,,,,220000000
TC.165,Exclusion of GI bill benefits ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Veterans Benefits and Services,tax_expenditure,Tax Expenditure,,,,,,1560000000
TC.166,Exclusion of interest on veterans housing bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Veterans Benefits and Services,tax_expenditure,Tax Expenditure,,,,,,40000000
TC.167,Exclusion of interest on public purpose State and local bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,General Purpose Fiscal Assistance,tax_expenditure,Tax Expenditure,,,,,,39920000000
TC.168,Build America Bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,General Purpose Fiscal Assistance,tax_expenditure,Tax Expenditure,,,,,,0
TC.169,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,General Purpose Fiscal Assistance,tax_expenditure,Tax Expenditure,,,,,,6540000000
TC.170,Deferral of interest on U.S. savings bonds ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Interest,tax_expenditure,Tax Expenditure,,,,,,910000000
TC.171,Deductibility of: Property taxes on owner-occupied homes ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Aid to State and Local Governments,tax_expenditure,Tax Expenditure,,,,,,6360000000
,Deductibility of: Nonbusiness State and local taxes other than on owner-occupied homes ,,,,,,,,,,,,,6540000000
,Exclusion of interest on State and local bonds for: Public purposes,,,,,,,,,,,,,39920000000
,Exclusion of interest on State and local bonds for: Energy facilities,,,,,,,,,,,,,0
,"Exclusion of interest on State and local bonds for: Water, sewage, and hazardous waste disposal facilities ",,,,,,,,,,,,,350000000
,Exclusion of interest on State and local bonds for: Small-issues,,,,,,,,,,,,,60000000
,Exclusion of interest on State and local bonds for: Owner-occupied mortgage subsidies,,,,,,,,,,,,,1110000000
,Exclusion of interest on State and local bonds for: Rental housing ,,,,,,,,,,,,,2750000000
,"Exclusion of interest on State and local bonds for: Airports, docks, and similar facilities ",,,,,,,,,,,,,1480000000
,Exclusion of interest on State and local bonds for: Student loans ,,,,,,,,,,,,,130000000
,Exclusion of interest on State and local bonds for: Private nonprofit educational facilities ,,,,,,,,,,,,,2800000000
,Exclusion of interest on State and local bonds for: Hospital construction,,,,,,,,,,,,,3490000000
,Exclusion of interest on State and local bonds for: Veterans' housing ,,,,,,,,,,,,,40000000
