PROGRAM_ID,Agency,Program Name,Program Description,Expenditure Method,Mission/Purpose,Recipients,Beneficiaries,Associated Categories,FY 2019 Total Program Obligations,FY 2020 Total Program Obligations,Category,FY 2019 Obligations for Category,FY 2020 Obligations for Category,Update Date-Time
730644,Department of Education,English Language Acquisition,The English Language Acquisition program supports formula grants to States to serve English learners and increase English language proficiency and academic achievement.,Formula Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified),Education (0-8); Education (9-12),Native American; Workforce Development,738963,782560,Native American,17750,18358,2021-01-13 at 13.32.03
730644,Department of Education,English Language Acquisition,The English Language Acquisition program supports formula grants to States to serve English learners and increase English language proficiency and academic achievement.,Formula Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified),Education (0-8); Education (9-12),Native American; Workforce Development,738963,782560,Workforce Development,46787,44579,2021-01-13 at 13.32.03
728324,Department of Education,FIPSE--Career Pathways,"The purpose of the Career Pathways Program funded through FIPSE is to develop technology-based or technology-enabled career exploration systems that enable high school students to identify and explore career opportunities that align with their interests, ambitions, and aptitudes; learn from individuals who work in those fields about the nature of their work and opportunities available in their fields; and identify education and training options—including non-college programs such as work-based learning opportunities, military training, apprenticeships, and employer-sponsored training—that enable entry into or advancement in those careers. Career and education pathways exploration systems must include, for featured occupations, information about employment outlook and likely entry and mid-career earnings in featured fields, and they must enable students to use built-in financial analysis tools to explore the economic impact of their career, education, and training choices.",Discretionary Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia); Nonprofit with 501(c)(3) Status; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government,Education (9-12),Workforce Development,0,10000,Workforce Development,0,9900,2021-01-13 at 13.32.03
730659,Department of Education,GEAR UP,This discretionary grant program is designed to increase the number of low-income students who are prepared to enter and succeed in postsecondary education.,Discretionary Grants,Higher education,"Public/State Controlled Institution; Private Educational Institution, Nonprofit",Education (0-8); Education (9-12),Native American,365000,365000,Native American,16878,16878,2021-01-13 at 13.32.03
729029,Department of Education,Helen Keller National Center,"The HKNC provides services on a national basis to youth and adults who are deaf-blind, their families, and service providers through onand off-campus services, professional learning, and information on combined vision and hearing loss. HKNC’s mission is to enable each person who is deaf-blind to live, work, and thrive in their community of choice. This includes having access to local resources for community living and employment opportunities.",Mandatory Grants,"Elementary, secondary, and vocational education",Nonprofit with 501(c)(3) Status; Nonprofit without 501(c)(3) IRS Status,Individuals with Physical Disabilities,Workforce Development,13500,16000,Workforce Development,12150,14400,2021-01-13 at 13.32.03
730329,Department of Education,Impact Aid Basic Support Payments,"Basic Support Payments help local school districts that educate federally connected children. These may be the children of members of the uniformed services, children who reside on Indian lands, children who reside on Federal property or in federally subsidized low-rent housing, and children whose parents work on Federal Property. In general, to be eligible for assistance a local school district must educate at least 400 such children in average daily attendance, or the federally connected children must make up at least 3 percent of the school district’s total average daily attendance. Heavily Impacted Districts that enroll certain percentages of federally connected children and meet other specific statutory criteria, receive increased formula payments under Section 7003(b)(2).",Formula Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified),Education (0-8); Education (9-12),Native American,1301242,1340242,Native American,717421,737053,2021-01-13 at 13.32.03
730447,Department of Education,Impact Aid Construction Discretionary,Construction Grants go to local school districts that educate high percentages of certain federally connected children — both children living on Indian lands and children of members of the uniformed services. These grants help pay for the construction and repair of school buildings. Section 7007(a) provides formula grants to the local school districts based on the number of eligible federally connected children they educate. There is no separate application process required for this grant. The formula distribution is based on the 7003 application. Section 7007(a) was funded in fiscal year 2016. Section 7007(b) provides competitive grants for emergency repairs and modernization.,Discretionary Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified),Education (0-8); Education (9-12),Native American,6,17400,Native American,0,17400,2021-01-13 at 13.32.03
730409,Department of Education,Impact Aid Construction Formula,Construction Grants go to local school districts that educate high percentages of certain federally connected children — both children living on Indian lands and children of members of the uniformed services. These grants help pay for the construction and repair of school buildings. Section 7007(a) provides formula grants to the local school districts based on the number of eligible federally connected children they educate. There is no separate application process required for this grant. The formula distribution is based on the 7003 application. Section 7007(a) was funded in fiscal year 2016. Section 7007(b) provides competitive grants for emergency repairs and modernization.,Formula Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified),Education (0-8); Education (9-12),Native American,0,17406,Native American,0,8703,2021-01-13 at 13.32.03
730330,Department of Education,Impact Aid Payments for Children with Disabilities,Payments for Children with Disabilities provide additional assistance to school districts that educate federally connected children who are eligible for services under the Individuals with Disabilities Act (IDEA). These payments are in addition to Basic Support Payments and IDEA funds provided on behalf of these children. A school district that receives these funds MUST use them for the increased costs of educating federally connected children with disabilities.,Formula Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified),Education (0-8); Education (9-12),Native American,48316,48316,Native American,21618,21672,2021-01-13 at 13.32.03
730121,Department of Education,Indian Education Grants to LEAs,"The program supports formula grants that provide assistance to elementary and secondary schools for programs serving Indian students, including preschool children.",Formula Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified); U.S. Federal Government; Indian/Native American Tribal Government,Education (0-8); American Indian; Education (9-12),Native American,105381,105381,Native American,105381,105381,2021-01-13 at 13.32.03
730251,Department of Education,Indian Education National Activities,"The program supports three types of Indian Education National Activities: (1) research, evaluation, and data collection to provide information on the educational status of the Indian population and on the effectiveness of Indian Education programs; (2) grants to support native language immersion schools and programs; and (3) grants to Tribes to build capacity for administrative planning, development, and coordination related to education systems.",Discretionary Grants,"Elementary, secondary, and vocational education",Domestic Local Government (includes territories unless otherwise specified); Nonprofit with 501(c)(3) Status; Indian/Native American Tribal Government,American Indian; Federally Recognized Indian Tribal Governments; Education (9-12); Education (0-8),Native American,6860,7365,Native American,6860,7365,2021-01-13 at 13.32.03
730470,Department of Education,Native American nontribal institutions,"This program provides grants and related assistance to Native American-serving, nontribal institutions to enable such institutions to improve and expand their capacity to serve Native Americans and low-income individuals.",Discretionary Grants,Higher education,"Public/State Controlled Institution; Private Educational Institution, Nonprofit",Education (13+),Native American,6848,8595,Native American,6848,8595,2021-01-13 at 13.32.03
729649,Department of Education,Rehabilitation Services Training--Short Term Training – Client Assistance Program (CAP),"The Rehabilitation Short-Term Training Program supports special seminars, institutes, workshops, and other short-term courses in technical matters relating to vocational, medical, social, and psychological rehabilitation programs; independent living service programs; and client assistance programs (CAPs). This award provides training and technical instruction to the CAP grantees on the statutory and regulatory requirements governing the provision of vocational rehabilitation (VR) and other services under the Rehabilitation Act. 
",Discretionary Grants,Social services,U.S. State Government (including the District of Columbia); Indian/Native American Tribal Government; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Public/State Controlled Institution,"Major Metropolis (over 250,000); Rural; Suburban; Other Urban",Workforce Development,29538,29388,Workforce Development,200,200,2021-01-13 at 13.32.03
729078,Department of Education,Rehabilitation Services Training--Training of Interpreters for Individuals Who are Deaf or Hard-of-Hearing or Individuals Who are Deaf-Blind,"These grants provide specialty training to working interpreters across the country who possess a baccalaureate degree in ASL-English and who have a minimum of three years of relevant experience as an interpreter (or equivalence, such as relevant professional experience and years of education (credit hours) not totaling a formal degree). The goals for these projects are to 1) increase in the number of interpreters who are trained to work with deaf consumers who require specialized interpreting and 2) increase the number of interpreters trained in specialty areas that obtain or advance in employment in the areas for which they were prepared.",Discretionary Grants,Social services,U.S. State Government (including the District of Columbia); Indian/Native American Tribal Government; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Public/State Controlled Institution,"Major Metropolis (over 250,000); Rural; Suburban; Other Urban",Workforce Development,29538,29388,Workforce Development,1600,1600,2021-01-13 at 13.32.03
730040,Department of Education,Rural Education,"The program provides funding to rural local educational agencies which often face significant challenges in teacher recruitment and retention, do not have the same economies of scale as non-rural districts, and often receive allocations under the Department’s formula grant programs that are too small to address effectively the purposes for which the funds are appropriated.",Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia),Education (0-8); Education (9-12),Native American,180929,185840,Native American,452,465,2021-01-13 at 13.32.03
730119,Department of Education,Special Education - Infants,"to assist them in implementing statewide systems of coordinated, comprehensive, multidisciplinary, interagency programs and making early intervention services available to children with disabilities, aged birth through 2, and their families.",Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia),Education (0-8),Native American,470000,477000,Native American,9169,8169,2021-01-13 at 13.32.03
730649,Department of Education,Special Education - Preschool,to make available special education and related services for children with disabilities aged 3 through 5.,Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia); U.S. Federal Government,Education (0-8),Native American,391120,394120,Native American,4152,4152,2021-01-13 at 13.32.03
730118,Department of Education,Special Education Grants to States,"to assist the 50 states, the District of Columbia, Puerto Rico, the Department of the Interior, Outlying Areas, and the Freely Associated States in meeting the excess costs of providing special education and related services to children with disabilities.",Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia); U.S. Federal Government,Education (0-8); Education (13+); Education (9-12),Native American,12364392,12764392,Native American,252153,252681,2021-01-13 at 13.32.03
729073,Department of Education,Special Education Personnel Preparation,The Personnel Preparation program helps meet state-identified needs for adequate numbers of fully certified personnel to serve children with disabilities,Discretionary Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Education (0-8); Education (9-12),Workforce Development,87200,89700,Workforce Development,87200,89700,2021-01-13 at 13.32.03
732145,Department of Education,"Special ED Educational Technology, Media & Materials  for Individuals with Disabilities (Center on Early STEM Learning for Young Children with Disabilities)","The purposes of the Educational Technology, Media, and Materials for Individuals with Disabilities Program are to: (1) Improve results for students with disabilities by promoting the development, demonstration, and use of technology; (2) support educational activities designed to be of educational value in the classroom for students with disabilities; (3) provide support for captioning and video description that is appropriate for use in the classroom; and (4) provide accessible educational materials to students with disabilities in a timely manner.",Cooperative Agreements,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Individuals with Developmental Disabilities; Individuals with Physical Disabilities,STEM Education,1450,1450,STEM Education,1450,1450,2021-01-13 at 13.32.03
730249,Department of Education,Special Programs for Indian Children,The program supports discretionary grants designed to improve the quality of education for Indian students and to prepare and train Indian individuals to serve as teachers and school administrators.,Discretionary Grants,"Elementary, secondary, and vocational education","Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government; Private Educational Institution, Nonprofit",American Indian; Education (13+); Education (9-12); Education (0-8),Native American; Workforce Development,67993,67993,Native American,67993,67993,2021-01-13 at 13.32.03
730249,Department of Education,Special Programs for Indian Children,The program supports discretionary grants designed to improve the quality of education for Indian students and to prepare and train Indian individuals to serve as teachers and school administrators.,Discretionary Grants,"Elementary, secondary, and vocational education","Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government; Private Educational Institution, Nonprofit",American Indian; Education (13+); Education (9-12); Education (0-8),Native American; Workforce Development,67993,67993,Workforce Development,9423,5643,2021-01-13 at 13.32.03
729912,Department of Education,State Assessments,"The purpose of this program is: to pay the costs of developing the standards and high-quality assessments required by Title I of the ESEA. Once a State has put in place those standards and assessments, it may use program funds to pay for the administration of the assessments and for other activities related to ensuring that the State’s schools and LEAs are held accountable for results and helping students attain challenging academic standards linked to college- and career-readiness.",Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia); U.S. Federal Government,Education (0-8); Education (9-12),Native American,369100,369100,Native American,1846,1846,2021-01-13 at 13.32.03
729054,Department of Education,State Personnel Development Grants,"The State Personnel Development (SPD) program makes competitive awards to help State educational agencies (SEAs) reform and improve their systems for personnel preparation and professional development of individuals providing early intervention, educational, and transition services to improve results for children with disabilities. The SPD program focuses on professional development needs and each State grantee must spend at least 90 percent of its funds on professional development activities, including the recruitment and retention of qualified special education teachers.",Discretionary Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified),School; Youth (16-21); Child (6-15); Preschool,Workforce Development,38630,38630,Workforce Development,38630,38630,2021-01-13 at 13.32.03
730120,Department of Education,Student Support and Academic Enrichment State Grants,The program supports formula grants that are intended to improve academic achievement by increasing the capacity of States and local educational agencies (LEAs) to provide students with access to a well-rounded education and improve school conditions and use of technology.,Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia),Education (0-8); Education (9-12),Native American,1169661,1211196,Native American,5820,6020,2021-01-13 at 13.32.03
729069,Department of Education,Supported Employment State Grants,"The Supported Employment (SE) State Grants program assists States in developing collaborative programs with appropriate public and private non-profit organizations to provide supported employment services for individuals with the most significant disabilities. More specifically, the program provides formula-based supplemental funding to State vocational rehabilitation (VR) agencies to assist VR consumers with the most significant disabilities in achieving the employment outcome of supported employment.",Formula Grants,Social services,U.S. State Government (including the District of Columbia),Individuals with Physical Disabilities; Individuals with Developmental Disabilities,Native American; Workforce Development,22548,22548,Native American,489,379,2021-01-13 at 13.32.03
729069,Department of Education,Supported Employment State Grants,"The Supported Employment (SE) State Grants program assists States in developing collaborative programs with appropriate public and private non-profit organizations to provide supported employment services for individuals with the most significant disabilities. More specifically, the program provides formula-based supplemental funding to State vocational rehabilitation (VR) agencies to assist VR consumers with the most significant disabilities in achieving the employment outcome of supported employment.",Formula Grants,Social services,U.S. State Government (including the District of Columbia),Individuals with Physical Disabilities; Individuals with Developmental Disabilities,Native American; Workforce Development,22548,22548,Workforce Development,22323,22323,2021-01-13 at 13.32.03
729411,Department of Education,Supporting Effective Educator Development (SEED),"The SEED grant program provides funding to increase the number of highly effective educators by supporting the implementation of evidence-based preparation, development, or enhancement opportunities for educators.
",Discretionary Grants,"Elementary, secondary, and vocational education","Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution",Education (0-8); Education (9-12),Workforce Development,75000,79994,Workforce Development,75000,79994,2021-01-13 at 13.32.03
729409,Department of Education,Supporting Effective Instruction State Grants,"Supports activities designed to increase student achievement by improving the effectiveness of teachers, principals, and other school leaders; increase the number of teachers, principals, and other school leaders who are effective in improving student academic achievement in schools; provide low-income and minority students greater access to effective teachers, principals, and other school leaders; and reduce class size. 
",Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia),Education (0-8); Education (9-12),Native American,2046372,2128815,Native American,10228,10606,2021-01-13 at 13.32.03
729076,Department of Education,Teacher Quality Partnership,"the TQP Grants Program seeks to improve the quality of new teachers by creating partnerships among IHEs, their schools/colleges of education and arts and sciences, high-need school districts (local educational agencies (LEAs)), their high-need schools, and/or high-need early childhood education (ECE) programs.",Discretionary Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Education (0-8); Education (9-12),Workforce Development,43092,50092,Workforce Development,43092,50092,2021-01-13 at 13.32.03
730041,Department of Education,Title I Part A,"The program supports formula grants that provide supplemental education funding, especially in high-poverty areas, for local programs that provide extra academic support to help students in high-poverty schools meet challenging State academic standards.",Formula Grants,"Elementary, secondary, and vocational education",U.S. State Government (including the District of Columbia),Education (0-8); Education (13+); Education (9-12),Native American,15859802,16309802,Native American,342020,356072,2021-01-13 at 13.32.03
730465,Department of Education,Title III Institutional Aid (AN/NH-serving Program),This program provides grants and related to assistance to eligible Alaska Native-serving institutions and Native Hawaiian-serving institutions of higher education to enable such institutions to improve and expand their capacity to serve Alaska Natives and Native Hawaiians.,Discretionary Grants,Higher education,"Public/State Controlled Institution; Private Educational Institution, Nonprofit",Education (13+),Native American,3465,3106,Native American,3465,3106,2021-01-13 at 13.32.03
730460,Department of Education,Title III Institutional Aid (TCCUs),"This program helps Tribally Controlled Colleges and Universities increase their self-sufficiency by providing funds to improve and strengthen the academic quality, institutional management, and fiscal stability of eligible institutions.",Discretionary Grants,Higher education,"Public/State Controlled Institution; Private Educational Institution, Nonprofit",Education (13+); Education (9-12),Native American,59994,64863,Native American,59994,64863,2021-01-13 at 13.32.03
730456,Department of Education,Traditionally Underserved Populations,"The purpose of this activity for traditionally underserved populations is to make awards to minority entities and Indian Tribes to conduct research, training and technical assistance, and related activities to improve services under the Rehabilitation Act, especially services provided to individuals from minority backgrounds.",Discretionary Grants,Social services,"Indian/Native American Tribal Government; Private Educational Institution, For Profit; Private Educational Institution, Nonprofit; Public/State Controlled Institution",American Indian; Individuals with Developmental Disabilities; Individuals with Physical Disabilities,Native American,910,910,Native American,352,166,2021-01-13 at 13.32.03
729713,Department of Education,Tribally Controlled Postsecondary Career and Technical Institutions,"The program supports grants to eligible tribally controlled postsecondary career and technical institutions to provide career and technical education (CTE) services and basic support for the education and training of Indian students. 
",Discretionary Grants,Higher education,Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified),American Indian,Native American; Workforce Development,9564,10000,Native American,9564,10000,2021-01-13 at 13.32.03
729713,Department of Education,Tribally Controlled Postsecondary Career and Technical Institutions,"The program supports grants to eligible tribally controlled postsecondary career and technical institutions to provide career and technical education (CTE) services and basic support for the education and training of Indian students. 
",Discretionary Grants,Higher education,Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified),American Indian,Native American; Workforce Development,9564,10000,Workforce Development,9564,10000,2021-01-13 at 13.32.03
730660,Department of Education,TRIO,The Federal TRIO Programs (TRIO) are Federal outreach and student services programs designed to identify and provide services for individuals from disadvantaged backgrounds.,Discretionary Grants,Higher education,"Public/State Controlled Institution; Private Educational Institution, Nonprofit",Education (9-12); Education (13+),Native American,1090000,1090000,Native American,39063,39063,2021-01-13 at 13.32.03
732146,Department of Education,Upward Bound Math and Science Program,"The Upward Bound Math and Science program is designed to strengthen the math and science skills of participating students. The goal of the program is to help students recognize and develop their potential to excel in math and science and to encourage them to pursue postsecondary degrees in math and science, and ultimately careers in the math and science profession.",Discretionary Grants,Higher education,"U.S. State Government (including the District of Columbia); Private Educational Institution, Nonprofit; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified)",Education (9-12),STEM Education,63810,65439,STEM Education,63810,65439,2021-01-13 at 13.32.03
729061,Department of Education,Vocational rehabilitation State grants,"The Vocational Rehabilitation State Grants program provides funding to State VR agencies to provide a wide range of services designed to help persons with disabilities prepare for and engage in competitive integrated employment to the extent of their capabilities. Individuals who are eligible for assistance include those with a physical or mental impairment that results in a substantial impediment to employment and who require and can benefit from VR services to achieve and maximize employment and career goals.
",Formula Grants,Social services,U.S. State Government (including the District of Columbia),Individuals with Physical Disabilities; Individuals with Developmental Disabilities,Native American; Workforce Development,3260627,3221688,Native American,67505,69408,2021-01-13 at 13.32.03
729061,Department of Education,Vocational rehabilitation State grants,"The Vocational Rehabilitation State Grants program provides funding to State VR agencies to provide a wide range of services designed to help persons with disabilities prepare for and engage in competitive integrated employment to the extent of their capabilities. Individuals who are eligible for assistance include those with a physical or mental impairment that results in a substantial impediment to employment and who require and can benefit from VR services to achieve and maximize employment and career goals.
",Formula Grants,Social services,U.S. State Government (including the District of Columbia),Individuals with Physical Disabilities; Individuals with Developmental Disabilities,Native American; Workforce Development,3260627,3221688,Workforce Development,3260627,3221688,2021-01-13 at 13.32.03
732137,Department of Energy,Advanced Research Projects Agency - Energy,"Advanced Research Projects Agency-Energy (ARPA-E) advances high-potential, high-impact energy technologies that are too early for private-sector investment. ARPA-E awardees are developing entirely new ways to generate, store, and use energy",Cooperative Agreements,Energy supply,"Private Educational Institution, For Profit; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit",Public nonprofit institution/organization; Other private institution/ organization; Private nonprofit institution/organization; Profit Organization; Small Business; Other public institution/organization,A.I. R&D/Quantum R&D,404955,437999,A.I. R&D/Quantum R&D,85000,0,2021-01-13 at 13.32.03
728398,Department of Energy,Artificial Intelligence and Technology Office (AITO),"AITO serves as the Department’s hub for the development, coordination, and execution of the agency’s efforts as a world-leading enterprise in scientific and technological discovery and to accelerate the development, delivery, and adoption of Artificial Intelligence (AI).",Federal Pay and Benefits,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,0,1034,A.I. R&D/Quantum R&D,0,1034,2021-01-13 at 13.32.03
728407,Department of Energy,"Cybersecurity, Energy Security & Emergency Response","Cybersecurity for Energy Delivery Systems Program: Supports research and development of innovative tools and technologies to prevent, detect, and mitigate cyber attacks on energy delivery systems while sustaining critical functions.",Contractor Services,Emergency energy preparedness,U.S. Federal Government,Scientist /Researchers; Local; State; Federal,A.I. R&D/Quantum R&D,101403,152504,A.I. R&D/Quantum R&D,4600,10496,2021-01-13 at 13.32.03
732044,Department of Energy,Defense Nuclear Nonproliferation,"The National Nuclear Security Administration's Office of Defense Nuclear Nonproliferation works globally to prevent state and non-state actors from developing nuclear weapons or acquiring weapons-usable nuclear or radiological materials, equipment, technology, and expertise.",Contractor Services,Atomic energy defense activities,"Private Educational Institution, For Profit; For-Profit Organization; Public/State Controlled Institution; Private Educational Institution, Nonprofit",Scientist /Researchers; Federal; Education (13+),A.I. R&D/Quantum R&D; Workforce Development,1902369,2097402,A.I. R&D/Quantum R&D,34110,27118,2021-01-13 at 13.32.03
732044,Department of Energy,Defense Nuclear Nonproliferation,"The National Nuclear Security Administration's Office of Defense Nuclear Nonproliferation works globally to prevent state and non-state actors from developing nuclear weapons or acquiring weapons-usable nuclear or radiological materials, equipment, technology, and expertise.",Contractor Services,Atomic energy defense activities,"Private Educational Institution, For Profit; For-Profit Organization; Public/State Controlled Institution; Private Educational Institution, Nonprofit",Scientist /Researchers; Federal; Education (13+),A.I. R&D/Quantum R&D; Workforce Development,1902369,2097402,Workforce Development,22100,22100,2021-01-13 at 13.32.03
728410,Department of Energy,Energy Efficiency and Renewable Energy (EERE),"EERE invests in research and development (R&D) as part of the
Department of Energy’s (DOE) broad portfolio approach to addressing our Nation’s energy and environmental challenges.",Contractor Services,Energy supply,Individual; U.S. State Government (including the District of Columbia); U.S. Federal Government; For-Profit Organization; Indian/Native American Tribal Government,Anyone/General public,A.I. R&D/Quantum R&D; Native American; STEM Education; Workforce Development,2207379,2806961,A.I. R&D/Quantum R&D,24752,42983,2021-01-13 at 13.32.03
728410,Department of Energy,Energy Efficiency and Renewable Energy (EERE),"EERE invests in research and development (R&D) as part of the
Department of Energy’s (DOE) broad portfolio approach to addressing our Nation’s energy and environmental challenges.",Contractor Services,Energy supply,Individual; U.S. State Government (including the District of Columbia); U.S. Federal Government; For-Profit Organization; Indian/Native American Tribal Government,Anyone/General public,A.I. R&D/Quantum R&D; Native American; STEM Education; Workforce Development,2207379,2806961,Native American,112,120,2021-01-13 at 13.32.03
728410,Department of Energy,Energy Efficiency and Renewable Energy (EERE),"EERE invests in research and development (R&D) as part of the
Department of Energy’s (DOE) broad portfolio approach to addressing our Nation’s energy and environmental challenges.",Contractor Services,Energy supply,Individual; U.S. State Government (including the District of Columbia); U.S. Federal Government; For-Profit Organization; Indian/Native American Tribal Government,Anyone/General public,A.I. R&D/Quantum R&D; Native American; STEM Education; Workforce Development,2207379,2806961,STEM Education,34519,78925,2021-01-13 at 13.32.03
728410,Department of Energy,Energy Efficiency and Renewable Energy (EERE),"EERE invests in research and development (R&D) as part of the
Department of Energy’s (DOE) broad portfolio approach to addressing our Nation’s energy and environmental challenges.",Contractor Services,Energy supply,Individual; U.S. State Government (including the District of Columbia); U.S. Federal Government; For-Profit Organization; Indian/Native American Tribal Government,Anyone/General public,A.I. R&D/Quantum R&D; Native American; STEM Education; Workforce Development,2207379,2806961,Workforce Development,31260,42650,2021-01-13 at 13.32.03
728456,Department of Energy,"Environment, Health, Safety and Security","The Office of Environment, Health, Safety and Security (EHSS) provides corporate leadership and strategic approaches in enabling the Department of Energy (DOE) mission and furthering the protection afforded the DOE workers, the public, the environment, and national security assets.",Contractor Services,Consumer and occupational health and safety,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,200011,211062,A.I. R&D/Quantum R&D,1250,2750,2021-01-13 at 13.32.03
727841,Department of Energy,Environmental Management,"EM's Minority Serving Institutions Partnership Program (MSIPP) is a program to promote the education and development of the next generation workforce in critical science, engineering, technology, and math (STEM) related disciplines that complement current and future missions of U.S. Department of Energy Office of Environmental Management (DOE-EM).",Contractor Services,Training and employment,Individual,Minority Groups; Education (13+); Graduate Student; Student Trainee; Individual/Family,STEM Education,5922890,6253130,STEM Education,6000,6000,2021-01-13 at 13.32.03
728449,Department of Energy,Fossil Energy Research and Development,"The Fossil Energy Research and Development (FER&D) program offices advance transformative science and innovative technologies that enable the  reliable, efficient, affordable, and environmentally sound use of fossil fuels.",Other Direct Federal Spending,Energy supply,U.S. Federal Government,Federal; Scientist /Researchers,A.I. R&D/Quantum R&D,662064,687798,A.I. R&D/Quantum R&D,31021,24821,2021-01-13 at 13.32.03
728116,Department of Energy,Indian Energy Policy and Programs,"Competitive grant & technical assistance program supporting energy
development and electrification in Indian Country,
and associated support contracts.",Discretionary Grants,"Energy information, policy, and regulation",Indian/Native American Tribal Government,Federally Recognized Indian Tribal Governments; Native American Organizations; Local; State; Public nonprofit institution/organization,Native American,10562,8626,Native American,10562,8626,2021-01-13 at 13.32.03
732138,Department of Energy,Naval Reactors,"The Naval Nuclear Propulsion Program provides militarily effective nuclear propulsion plants and ensures their safe, reliable and long-lived operation. NNSA's Naval Reactors Program provides the design, development and operational support required to provide militarily effective nuclear propulsion plants and ensure their safe, reliable and long-lived operation.",Contractor Services,Atomic energy defense activities,For-Profit Organization,Scientist /Researchers; Education (13+),Workforce Development,2080870,1554774,Workforce Development,1000,1200,2021-01-13 at 13.32.03
732007,Department of Energy,Nuclear Energy,"The Office of Nuclear Energy (NE) mission is to advance nuclear energy science and technology to meet U.S. energy, environmental, and economic needs. Within NE, the Integrated University Program supports nuclear science and engineering study and research.",Contractor Services,Higher education,Individual,Education (13+); Student Trainee; Graduate Student,STEM Education,1518660,1557809,STEM Education,5067,4980,2021-01-13 at 13.32.03
728452,Department of Energy,Science,"The Office of Science’s (SC) mission is to deliver scientific discoveries and major scientific tools to transform our understanding of nature and advance the energy, economic and national security of the United States.",Contractor Services,General science and basic research,"Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; For-Profit Organization; Private Educational Institution, For Profit",Federal; Intrastate; Scientist /Researchers; Anyone/General public; Public nonprofit institution/organization; Sponsored Organization,A.I. R&D/Quantum R&D; STEM Education,5904450,6266046,A.I. R&D/Quantum R&D,144750,269144,2021-01-13 at 13.32.03
728452,Department of Energy,Science,"The Office of Science’s (SC) mission is to deliver scientific discoveries and major scientific tools to transform our understanding of nature and advance the energy, economic and national security of the United States.",Contractor Services,General science and basic research,"Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; For-Profit Organization; Private Educational Institution, For Profit",Federal; Intrastate; Scientist /Researchers; Anyone/General public; Public nonprofit institution/organization; Sponsored Organization,A.I. R&D/Quantum R&D; STEM Education,5904450,6266046,STEM Education,32422,40598,2021-01-13 at 13.32.03
